arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_bandexp_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_BandExp,3,2025-10-17,2025-10-16,2025-10-31,2025-10-30,SW2,1,10,20,5,0.25,109,SNDK;RLMD;MLYS;RGTI;TMQ;STOK;KOD;HL;EOSE;HIVE;RR;NB;PRAX;VSAT;NAK;SATS;HYMC;UUUU;ENGN;VFF,RLMD;MLYS;RGTI;TMQ;STOK;KOD;HL;EOSE;HIVE;NB;PRAX;VSAT;NAK;SATS;UUUU;HUT;NBIS;FDMT;TLS;TOYO,ENGN;HYMC;RR;SNDK;VFF,FDMT;HUT;NBIS;TLS;TOYO,-0.02888751875257839,-0.01761600378840553,-0.01774100378840553,0.000125
Arm_BandExp,3,2025-10-31,2025-10-30,2025-11-14,2025-11-13,SW2,1,10,20,4,0.2,128,SNDK;RLMD;PRAX;MLYS;LUMN;SATS;KOD;RGTI;GLUE;TLS;NAK;HIVE;STOK;ZURA;RR;STTK;LPTH;NB;RCUS;EOSE,RLMD;PRAX;MLYS;LUMN;SATS;KOD;GLUE;TLS;NAK;HIVE;STOK;ZURA;RR;STTK;NB;RCUS;NUVB;SION;NBIS;PHOE,EOSE;LPTH;RGTI;SNDK,NBIS;NUVB;PHOE;SION,-0.09329178985651718,-0.10078823467324807,-0.10088823467324808,0.0001
Arm_BandExp,3,2025-11-14,2025-11-13,2025-12-01,2025-11-28,SW2,1,10,20,6,0.3,114,RLMD;SNDK;PRAX;GLUE;RHLD;IVVD;MLYS;NAUT;MNPR;SATS;HYMC;EOSE;ZURA;ENGN;PALI;PHOE;ZBIO;RCUS;HL;SPHR,RLMD;SNDK;GLUE;IVVD;MLYS;MNPR;SATS;HYMC;ZURA;ENGN;PALI;PHOE;RCUS;SPHR;LITE;RLAY;FLNC;ROIV;NAK;RVMD,EOSE;HL;NAUT;PRAX;RHLD;ZBIO,FLNC;LITE;NAK;RLAY;ROIV;RVMD,0.07348816467797989,0.09991264533803774,0.09976264533803775,0.00015000000000000001
Arm_BandExp,3,2025-12-01,2025-11-28,2025-12-15,2025-12-12,SW2,1,10,20,6,0.3,96,SNDK;PRAX;GLUE;NAUT;RLMD;PALI;FLNC;NUVB;PACS;FBYD;MNPR;RCUS;KOD;LITE;RHLD;IVVD;RLAY;NAK;ZBIO;HYMC,PRAX;GLUE;RLMD;FLNC;FBYD;MNPR;RCUS;KOD;RHLD;IVVD;RLAY;NAK;ZBIO;HYMC;RVMD;KYTX;TMQ;IMNM;STTK;TRDA,LITE;NAUT;NUVB;PACS;PALI;SNDK,IMNM;KYTX;RVMD;STTK;TMQ;TRDA,-0.02172561577068332,0.029964319529459105,0.029814319529459104,0.00015000000000000001
Arm_BandExp,3,2025-12-15,2025-12-12,2025-12-30,2025-12-29,SW2,1,10,20,4,0.2,121,PRAX;IMMX;PACS;PALI;FLNC;RHLD;GLUE;NUVB;NAK;RLMD;KOD;NAUT;TRDA;HYMC;ZBIO;SRZN;KYTX;IMNM;VSCO;SNDK,IMMX;PACS;FLNC;RHLD;GLUE;NAK;RLMD;KOD;NAUT;TRDA;HYMC;ZBIO;SRZN;KYTX;IMNM;VSCO;JBIO;VERA;USAS;RLAY,NUVB;PALI;PRAX;SNDK,JBIO;RLAY;USAS;VERA,0.0575402401824215,0.032406045862676175,0.03230604586267617,0.0001
Arm_BandExp,3,2025-12-30,2025-12-29,2026-01-14,2026-01-13,SW2,1,10,20,0,0.0,123,PRAX;HYMC;PACS;PALI;RHLD;IMMX;GLSI;NUVB;VICR;LITE;IVVD;GLUE;NAUT;VSCO;RLMD;REPL;SNDK;SLS;MLTX;JBIO,PRAX;HYMC;PACS;PALI;RHLD;IMMX;GLSI;NUVB;VICR;LITE;IVVD;GLUE;NAUT;VSCO;RLMD;REPL;SNDK;SLS;MLTX;JBIO,,,0.04333200875110441,0.04333200875110441,0.04333200875110441,0.0
Arm_BandExp,3,2026-01-14,2026-01-13,2026-01-29,2026-01-28,SW2,1,10,20,5,0.25,115,PRAX;HYMC;PACS;SNDK;GLSI;RVMD;VICR;STTK;RHLD;LITE;FBRX;KOD;VSCO;GLUE;GOLD;RLMD;SLS;NAUT;ELA;HL,PRAX;HYMC;PACS;SNDK;RVMD;VICR;STTK;RHLD;KOD;VSCO;GLUE;GOLD;RLMD;NAUT;HL;FOLD;HLF;TRDA;IMMX;FIGS,ELA;FBRX;GLSI;LITE;SLS,FIGS;FOLD;HLF;IMMX;TRDA,0.02011319335565675,0.04194022276595506,0.04181522276595506,0.000125
Arm_BandExp,3,2026-01-29,2026-01-28,2026-02-12,2026-02-11,SW2,1,10,20,2,0.1,118,HYMC;GLSI;SNDK;GOLD;SATL;PACS;RHLD;IBRX;SKE;USAS;HL;PL;EGO;STTK;IAUX;FBRX;HLF;MOVE;TGB;IAG,HYMC;GLSI;SNDK;GOLD;SATL;PACS;IBRX;SKE;USAS;HL;PL;EGO;STTK;IAUX;HLF;MOVE;TGB;IAG;PAAS;VICR,FBRX;RHLD,PAAS;VICR,-0.06492186257072637,-0.06846443096763584,-0.06851443096763583,5e-05
Arm_BandExp,3,2026-02-12,2026-02-11,2026-02-27,2026-02-26,SW2,1,10,20,4,0.2,114,HYMC;GOLD;ICHR;GLSI;PACS;IBRX;SLS;LITE;IAUX;STTK;IMMX;SNDK;KLIC;SKE;FBRX;SRZN;HLF;STRO;USAS;TGB,HYMC;GOLD;ICHR;PACS;SLS;LITE;IAUX;STTK;IMMX;SNDK;KLIC;SKE;FBRX;HLF;STRO;USAS;ENLT;NX;MT;ELVA,GLSI;IBRX;SRZN;TGB,ELVA;ENLT;MT;NX,0.10064590487575067,0.0697397192401062,0.0696397192401062,0.0001
Arm_BandExp,3,2026-02-27,2026-02-26,2026-03-13,2026-03-12,SW2,1,10,20,2,0.1,105,HYMC;IBRX;SLS;GLSI;ICHR;GOLD;SNDK;VICR;LITE;STRO;USAS;PL;SKYT;FET;STTK;SKE;IAUX;LASR;THM;IMMX,IBRX;SLS;ICHR;GOLD;SNDK;VICR;LITE;STRO;USAS;PL;SKYT;FET;STTK;SKE;IAUX;LASR;THM;IMMX;STKL;ENLT,GLSI;HYMC,ENLT;STKL,-0.05630228414738173,-0.04302801072898774,-0.04307801072898774,5e-05
Arm_BandExp,3,2026-03-13,2026-03-12,2026-03-27,2026-03-26,SW2,1,10,20,2,0.1,91,IBRX;HYMC;SOC;STRO;SNDK;SLS;GLSI;ICHR;VG;KOS;UMAC;STTK;PL;OCGN;TNGX;ENLT;ZURA;RCAT;LINC;REI,HYMC;SOC;STRO;SNDK;SLS;GLSI;VG;KOS;UMAC;STTK;PL;OCGN;TNGX;ENLT;ZURA;RCAT;LINC;REI;EGY;STKL,IBRX;ICHR,EGY;STKL,-0.004076985044060838,-0.00011183369072556401,-0.00016183369072556402,5e-05
Arm_BandExp,3,2026-03-27,2026-03-26,2026-04-13,2026-04-10,SW2,1,10,20,5,0.25,84,IBRX;KOS;SATL;VG;ICHR;STRO;SNDK;ELVN;TNGX;VAL;STTK;PBF;EGY;REI;VIAV;PARR;SM;NAUT;RIG;NBR,IBRX;KOS;SATL;STRO;SNDK;ELVN;VAL;STTK;EGY;REI;PARR;SM;NAUT;RIG;NBR;NAT;LINC;STKL;FET;KGS,ICHR;PBF;TNGX;VG;VIAV,FET;KGS;LINC;NAT;STKL,-0.012759017149049645,-0.007927390194798569,-0.00805239019479857,0.000125
