phase,date,d_prev,ticker,split,is_holdout,market_cap,eligible_300,raw_score_m3,raw_m3_rank,score_m3_dedup,rank_dedup,in_top20_dedup,score_m3_tilt,rank_tilt,in_top20_tilt,in_top20_baseline,ret_62,ret10_d_prev,forward_logret
1,2023-05-10,2023-05-09,SMWB,SW1,1,237418413.96,0,-0.2085438930979263,1061.0,,,0,,,0,0,-0.2160260835453458,-0.012334958157951234,0.04167269640056808
1,2023-05-24,2023-05-23,SMWB,SW1,1,237418413.96,0,0.07198660006588338,970.0,,,0,,,0,0,-0.0971637484536479,0.0416726964005682,0.16285900771904263
1,2023-06-08,2023-06-07,SMWB,SW1,1,237418413.96,0,0.7452403047840629,672.0,,,0,,,0,0,0.10664586287848996,0.1628590077190426,-0.12448899644607413
1,2023-06-23,2023-06-22,SMWB,SW1,1,237418413.96,0,-0.41142194030099666,1192.0,,,0,,,0,0,-0.05724933532930535,-0.12448899644607389,0.04167269640056808
1,2023-07-10,2023-07-07,SMWB,SW1,1,237418413.96,0,0.847729958107102,539.0,,,0,,,0,0,0.14141165404982864,0.041672696400568254,0.11130825583981241
1,2023-07-24,2023-07-21,SMWB,SW1,1,237418413.96,0,0.9217470762262778,486.0,,,0,,,0,0,0.19305309158387945,0.11130825583981234,0.011173300598125255
1,2023-08-07,2023-08-04,SMWB,SW1,1,237418413.96,0,1.0088693760160774,500.0,,,0,,,0,0,0.2127807642786631,0.011173300598125272,-0.11155248590574733
1,2023-08-21,2023-08-18,SMWB,SW1,1,237418413.96,0,1.1569551465546293,438.0,,,0,,,0,0,0.20239751336664386,-0.11155248590574733,0.03509131981126998
1,2023-09-05,2023-09-01,SMWB,SW1,1,237418413.96,0,0.05341940632795051,1053.0,,,0,,,0,0,-0.0029940142126047703,0.035091319811270096,-0.2374888331779139
1,2023-09-19,2023-09-18,SMWB,SW1,1,237418413.96,0,-1.0439107123621354,1310.0,,,0,,,0,0,-0.2567915854324427,-0.23748883317791375,0.15143106977461637
1,2023-10-03,2023-10-02,SMWB,SW1,1,237418413.96,0,0.14022456748137896,1033.0,,,0,,,0,0,-0.06637506894487293,0.15143106977461654,-0.0675932911325283
1,2023-10-17,2023-10-16,SMWB,SW1,1,237418413.96,0,-0.28178889107133925,1124.0,,,0,,,0,0,-0.2133051023139219,-0.06759329113252802,-0.11865754380131599
1,2023-10-31,2023-10-30,SMWB,SW1,1,237418413.96,0,-0.7884862397198713,1232.0,,,0,,,0,0,-0.3584450299550374,-0.11865754380131592,-0.06716664354384068
1,2023-11-14,2023-11-13,SMWB,SW1,1,237418413.96,0,-0.6426457445233954,1215.0,,,0,,,0,0,-0.2696252887045383,-0.06716664354384075,0.04124295853404922
1,2023-11-29,2023-11-28,SMWB,SW1,1,237418413.96,0,-1.1874714789226761,1362.0,,,0,,,0,0,-0.33213383502261495,0.04124295853404912,0.02985296314968113
1,2023-12-13,2023-12-12,SMWB,SW1,1,237418413.96,0,0.037573049635753517,1077.0,,,0,,,0,0,-0.07913732055872408,0.029852963149681142,0.04035129552356745
1,2023-12-28,2023-12-27,SMWB,SW1,1,237418413.96,0,-0.6491926353892704,1280.0,,,0,,,0,0,-0.0848118474304391,0.040351295523567435,0.047803218685345254
1,2024-01-12,2024-01-11,SMWB,SW1,1,237418413.96,0,0.45699687436645864,903.0,,,0,,,0,0,0.07645847444572101,0.047803218685345636,0.1215660167731565
1,2024-01-29,2024-01-26,SMWB,SW1,1,237418413.96,0,0.9658101080697963,562.0,,,0,,,0,0,0.24159573951251762,0.12156601677315661,0.10837663033414958
1,2024-02-12,2024-02-09,SMWB,SW1,1,237418413.96,0,1.2779738745313862,307.0,,,0,,,0,0,0.3220264394561084,0.10837663033414993,0.15313120782541279
1,2024-02-27,2024-02-26,SMWB,SW1,1,237418413.96,0,1.9588852441936961,103.0,,,0,,,0,0,0.4441474105389609,0.15313120782541284,0.149769703749925
1,2024-03-12,2024-03-11,SMWB,SW1,1,237418413.96,0,3.2009420545267164,33.0,,,0,,,0,0,0.6408007001877359,0.14976970374992477,-0.04968624519294252
1,2024-03-26,2024-03-25,SMWB,SW1,1,237418413.96,0,3.1141399380454047,43.0,,,0,,,0,0,0.5499725116636185,-0.04968624519294238,-0.05228463481920548
1,2024-04-10,2024-04-09,SMWB,SW1,1,237418413.96,0,2.387415792134125,94.0,,,0,,,0,0,0.42015829045808933,-0.05228463481920537,-0.08013995083012591
1,2024-04-24,2024-04-23,SMWB,SW1,1,237418413.96,0,1.6633425533492294,221.0,,,0,,,0,0,0.24842894386226605,-0.08013995083012576,-0.0599137493880943
1,2024-05-08,2024-05-07,SMWB,SW1,1,237418413.96,0,0.8438390470339391,667.0,,,0,,,0,0,0.10015410746725233,-0.05991374938809405,0.08241469867893218
1,2024-05-22,2024-05-21,SMWB,SW1,1,237418413.96,0,0.568743192063287,856.0,,,0,,,0,0,0.016199731214108736,0.0824146986789325,-0.012437971292216946
1,2024-06-06,2024-06-05,SMWB,SW1,1,237418413.96,0,0.004747072410191677,1166.0,,,0,,,0,0,-0.14967078701992517,-0.012437971292216566,-0.04348511193973878
1,2024-06-21,2024-06-20,SMWB,SW1,1,237418413.96,0,0.04995760027207696,1109.0,,,0,,,0,0,-0.17136854477475677,-0.04348511193973874,-0.06201447610548916
1,2024-07-08,2024-07-05,SMWB,SW2,1,237418413.96,0,-0.05361434197192555,1184.0,,,0,,,0,0,-0.17907103152650575,-0.06201447610548883,-0.041169760129741585
1,2024-07-22,2024-07-19,SMWB,SW2,1,237418413.96,0,-0.39615955481312476,1304.0,,,0,,,0,0,-0.11617143176204134,-0.04116976012974168,-0.1134446340577853
1,2024-08-05,2024-08-02,SMWB,SW2,1,237418413.96,0,-0.3707192541866903,1305.0,,,0,,,0,0,-0.19415601444095715,-0.11344463405778532,0.2811673914305872
1,2024-08-19,2024-08-16,SMWB,SW2,1,237418413.96,0,0.702426311626812,769.0,,,0,,,0,0,0.04255961441879579,0.28116739143058733,0.1446519276693504
1,2024-09-03,2024-08-30,SMWB,SW2,1,237418413.96,0,1.2355245631094585,337.0,,,0,,,0,0,0.22500105483356372,0.1446519276693507,-0.15203203496697312
1,2024-09-17,2024-09-16,SMWB,SW2,1,237418413.96,0,0.3536403506047937,1007.0,,,0,,,0,0,0.04934587410315434,-0.15203203496697323,0.08742281497115907
1,2024-10-01,2024-09-30,SMWB,SW2,1,237418413.96,0,0.8223669684452942,712.0,,,0,,,0,0,0.18051323803717034,0.0874228149711592,0.013483350337287207
1,2024-10-15,2024-10-14,SMWB,SW2,1,237418413.96,0,1.470137334368681,277.0,,,0,,,0,0,0.21868920096482916,0.013483350337287326,0.013303965626362666
1,2024-10-29,2024-10-28,SMWB,SW2,1,237418413.96,0,2.2322640910261495,80.0,,,0,,,0,0,0.39287944266508146,0.013303965626362674,0.14339448627969426
1,2024-11-12,2024-11-11,SMWB,SW2,1,237418413.96,0,1.0846506454300542,385.0,,,0,,,0,0,0.2712779191147122,0.14339448627969437,0.1999764920326754
1,2024-11-26,2024-11-25,SMWB,SW2,1,237418413.96,0,1.4257034847027619,200.0,,,0,,,0,0,0.33241796629317194,0.19997649203267553,-0.04964990864382054
1,2024-12-11,2024-12-10,SMWB,SW2,1,237418413.96,0,0.9796765251148407,399.0,,,0,,,0,0,0.2411620568168878,-0.049649908643820406,0.1764202153004406
1,2024-12-26,2024-12-24,SMWB,SW2,1,237418413.96,0,2.3457268011449655,75.0,,,0,,,0,0,0.4745563031781062,0.17642021530044075,-0.006906104796412047
1,2025-01-13,2025-01-10,SMWB,SW2,1,237418413.96,0,2.558645943534659,69.0,,,0,,,0,0,0.51638505434614,-0.006906104796411853,0.08880002818916755
1,2025-01-28,2025-01-27,SMWB,SW2,1,237418413.96,0,2.830628354735017,54.0,,,0,,,0,0,0.6017068181589826,0.08880002818916763,0.07921313583140234
1,2025-02-11,2025-02-10,SMWB,SW2,1,237418413.96,0,2.990776987737286,52.0,,,0,,,0,0,0.57764494482358,0.07921313583140234,-0.5870839241845128
1,2025-02-26,2025-02-25,SMWB,SW2,1,237418413.96,0,-1.0109759074022944,1535.0,,,0,,,0,0,-0.2754900316864186,-0.5870839241845123,-0.0732167426031366
1,2025-03-12,2025-03-11,SMWB,SW2,1,237418413.96,0,-0.7947378255127561,1489.0,,,0,,,0,0,-0.37242330090687126,-0.07321674260313636,0.031252543504104315
1,2025-03-26,2025-03-25,SMWB,SW2,1,237418413.96,0,-1.491571841490932,1669.0,,,0,,,0,0,-0.4700036292457353,0.0312525435041046,-0.31666960932503324
1,2025-04-09,2025-04-08,SMWB,SW2,1,237418413.96,0,-1.581879450982494,1631.0,,,0,,,0,0,-0.8097564087536421,-0.316669609325033,0.07410797215372183
1,2025-04-24,2025-04-23,SMWB,SW2,1,237418413.96,0,-2.0465834326085233,1734.0,,,0,,,0,0,-0.8099960732245314,0.07410797215372222,0.04250125603997519
1,2025-05-08,2025-05-07,SMWB,SW2,1,237418413.96,0,-2.3183792999103288,1770.0,,,0,,,0,0,-0.8407568597671182,0.04250125603997546,-0.025834203554763527
1,2025-05-22,2025-05-21,SMWB,SW2,1,237418413.96,0,-0.16099956412442415,1315.0,,,0,,,0,0,-0.2710150199665688,-0.02583420355476331,0.09455858262501278
1,2025-06-06,2025-06-05,SMWB,SW2,1,237418413.96,0,0.0026396041295551897,1267.0,,,0,,,0,0,-0.12913578115148439,0.09455858262501254,-0.10146946016485978
1,2025-06-23,2025-06-20,SMWB,SW2,1,237418413.96,0,-0.4563404246416374,1506.0,,,0,,,0,0,-0.22286612032338876,-0.10146946016485961,0.19928277018730317
1,2025-07-08,2025-07-07,SMWB,SW2,1,237418413.96,0,0.6304316378349634,644.0,,,0,,,0,0,0.23744994696544777,0.19928277018730345,-0.002275313837135651
1,2025-07-22,2025-07-21,SMWB,SW2,1,237418413.96,0,0.838700950190669,451.0,,,0,,,0,0,0.30067423074543354,-0.0022753138371356812,-0.10182337200026863
1,2025-08-05,2025-08-04,SMWB,SW2,1,237418413.96,0,0.30266458117286055,993.0,,,0,,,0,0,0.046459968197398664,-0.1018233720002685,0.09954286930154352
1,2025-08-19,2025-08-18,SMWB,SW2,1,237418413.96,0,0.7422703618651245,528.0,,,0,,,0,0,0.17142226633591887,0.09954286930154393,0.10296037735493363
1,2025-09-03,2025-09-02,SMWB,SW2,1,237418413.96,0,1.089777044432764,354.0,,,0,,,0,0,0.2703258429952381,0.10296037735493369,0.029428810690811977
1,2025-09-17,2025-09-16,SMWB,SW2,1,237418413.96,0,1.0574947452779289,405.0,,,0,,,0,0,0.2770718933397656,0.02942881069081221,-0.07257069283483537
1,2025-10-01,2025-09-30,SMWB,SW2,1,237418413.96,0,0.4369589852004765,770.0,,,0,,,0,0,0.08994823666293966,-0.07257069283483525,-0.0632490303076994
1,2025-10-15,2025-10-14,SMWB,SW2,1,237418413.96,0,0.28993957046304764,937.0,,,0,,,0,0,0.043306942754900865,-0.06324903030769935,0.029347478632017965
1,2025-10-29,2025-10-28,SMWB,SW2,1,237418413.96,0,0.32130941349535524,914.0,,,0,,,0,0,0.07265442138691898,0.029347478632018233,-0.05840239867971713
1,2025-11-12,2025-11-11,SMWB,SW2,1,237418413.96,0,0.42101284455703025,892.0,,,0,,,0,0,0.01066992932469676,-0.05840239867971721,-0.10169846605131178
1,2025-11-26,2025-11-25,SMWB,SW2,1,237418413.96,0,-0.6179191337409511,1566.0,,,0,,,0,0,-0.3057938223948272,-0.1016984660513116,-0.0013063359140554128
1,2025-12-11,2025-12-10,SMWB,SW2,1,237418413.96,0,-0.6752416734451568,1581.0,,,0,,,0,0,-0.2778297760087691,-0.0013063359140552035,-0.08167803101426724
1,2025-12-26,2025-12-24,SMWB,SW2,1,237418413.96,0,-0.48997033134726564,1532.0,,,0,,,0,0,-0.302465868636018,-0.08167803101426718,0.0028328630843041072
1,2026-01-12,2026-01-09,SMWB,SW2,1,237418413.96,0,-0.14756396960182352,1405.0,,,0,,,0,0,-0.1723712259407866,0.00283286308430432,-0.20840126957700641
1,2026-01-27,2026-01-26,SMWB,SW2,1,237418413.96,0,-1.0308571610000856,1652.0,,,0,,,0,0,-0.4284282296166131,-0.2084012695770061,-0.21706450523782764
1,2026-02-10,2026-02-09,SMWB,SW2,1,237418413.96,0,-1.8033707769585465,1753.0,,,0,,,0,0,-0.5978370007556205,-0.21706450523782742,-0.5596157879354228
1,2026-02-25,2026-02-24,SMWB,SW2,1,237418413.96,0,-3.6041804576224337,1898.0,,,0,,,0,0,-1.041453874828161,-0.5596157879354223,0.01876227645552282
1,2026-03-11,2026-03-10,SMWB,SW2,1,237418413.96,0,-3.3670318810815227,1879.0,,,0,,,0,0,-1.0451644542246965,0.01876227645552305,0.007407441277861818
1,2026-03-25,2026-03-24,SMWB,SW2,1,237418413.96,0,-2.8932765249402954,1880.0,,,0,,,0,0,-0.9659590905322745,0.007407441277861852,-0.011131840368844181
1,2026-04-09,2026-04-08,SMWB,SW2,1,237418413.96,0,-3.2632439669620608,1884.0,,,0,,,0,0,-1.0075220481036584,-0.011131840368844213,0.0037243990909822727
1,2026-04-23,2026-04-22,SMWB,SW2,1,237418413.96,0,-2.4612332096356955,1852.0,,,0,,,0,0,-0.7491690545244915,0.003724399090982705,0.13213636798535805
1,2026-05-07,2026-05-06,SMWB,SW2,1,237418413.96,0,-1.3235982766679102,1791.0,,,0,,,0,0,-0.3576516654879739,0.13213636798535802,0.21857286101937812
1,2026-05-21,2026-05-20,SMWB,SW2,1,237418413.96,0,1.4258601737532945,197.0,,,0,,,0,0,0.3142088267852097,0.21857286101937826,0.1253171193959148
1,2026-06-05,2026-06-04,SMWB,SW2,1,237418413.96,0,1.6261764828764995,160.0,,,0,,,0,0,0.4323830586687443,0.12531711939591494,0.1418683677490289
1,2026-06-22,2026-06-18,SMWB,SW2,1,237418413.96,0,2.0959270905002794,79.0,,,0,,,0,0,0.6480856884288257,0.14186836774902895,0.2267442753485798
2,2021-10-21,2021-10-20,SMWB,TRAIN,0,237418413.96,0,-2.250338824081501,1180.0,,,0,,,0,0,-0.20558603984937057,0.03904171375941235,-0.0014929089610322885
2,2021-11-04,2021-11-03,SMWB,TRAIN,0,237418413.96,0,-2.192137627674613,1191.0,,,0,,,0,0,-0.1891046086923756,-0.0014929089610321855,-0.04846651137136689
2,2021-11-18,2021-11-17,SMWB,TRAIN,0,237418413.96,0,-1.0137848909620293,1062.0,,,0,,,0,0,-0.04197135988371103,-0.048466511371367094,-0.10925960984021256
2,2021-12-03,2021-12-02,SMWB,TRAIN,0,237418413.96,0,-1.056103417657914,1010.0,,,0,,,0,0,-0.211531198668259,-0.1092596098402125,-0.09280602917856358
2,2021-12-17,2021-12-16,SMWB,TRAIN,0,237418413.96,0,-1.9038175722081039,1121.0,,,0,,,0,0,-0.29199139202452323,-0.09280602917856356,0.13616707163923522
2,2022-01-03,2021-12-31,SMWB,TRAIN,0,237418413.96,0,-0.318735663597564,913.0,,,0,,,0,0,-0.050092126596440786,0.13616707163923497,-0.05097009292739231
2,2022-01-18,2022-01-14,SMWB,TRAIN,0,237418413.96,0,-0.7971364455014424,990.0,,,0,,,0,0,-0.1831046421902758,-0.050970092927392296,-0.16785560224595153
2,2022-02-01,2022-01-31,SMWB,TRAIN,0,237418413.96,0,-1.041250847888089,1005.0,,,0,,,0,0,-0.29822394835528443,-0.1678556022459517,-0.021778170169380145
2,2022-02-15,2022-02-14,SMWB,TRAIN,0,237418413.96,0,-0.922487102067587,1030.0,,,0,,,0,0,-0.3378916832754395,-0.02177817016938014,0.017599891110184198
2,2022-03-02,2022-03-01,SMWB,TRAIN,0,237418413.96,0,-0.5580324993988891,998.0,,,0,,,0,0,-0.19181346739212396,0.017599891110184163,-0.18329900573025573
2,2022-03-16,2022-03-15,SMWB,TRAIN,0,237418413.96,0,-0.6249043314190115,1017.0,,,0,,,0,0,-0.2546617117409636,-0.18329900573025568,0.15713986122440174
2,2022-03-30,2022-03-29,SMWB,TRAIN,0,237418413.96,0,-1.006097995861522,1100.0,,,0,,,0,0,-0.22428902681173896,0.15713986122440182,-0.05749556825986537
2,2022-04-13,2022-04-12,SMWB,TRAIN,0,237418413.96,0,-0.9842314551738403,1111.0,,,0,,,0,0,-0.2835003518551072,-0.0574955682598652,-0.01298223654994724
2,2022-04-28,2022-04-27,SMWB,TRAIN,0,237418413.96,0,0.6180715105640104,643.0,,,0,,,0,0,0.03122814254758588,-0.012982236549947197,-0.39895292267290294
2,2022-05-12,2022-05-11,SMWB,TRAIN,0,237418413.96,0,-1.4310156804240077,1174.0,,,0,,,0,0,-0.48788405452358397,-0.39895292267290294,0.06539725884598896
2,2022-05-26,2022-05-25,SMWB,TRAIN,0,237418413.96,0,-1.225625106429096,1155.0,,,0,,,0,0,-0.37643549343305027,0.06539725884598885,-0.0405090964107359
2,2022-06-10,2022-06-09,SMWB,TRAIN,0,237418413.96,0,-1.368317972910141,1201.0,,,0,,,0,0,-0.30567563749979376,-0.0405090964107358,0.002232143783940856
2,2022-06-27,2022-06-24,SMWB,TRAIN,0,237418413.96,0,-0.9160162924839392,1112.0,,,0,,,0,0,-0.355559494854867,0.0022321437839407376,0.05950917273256902
2,2022-07-12,2022-07-11,SMWB,TRAIN,0,237418413.96,0,-0.7196917712512331,1082.0,,,0,,,0,0,-0.30383246256435276,0.059509172732569324,-0.05839496648916562
2,2022-07-26,2022-07-25,SMWB,TRAIN,0,237418413.96,0,-2.0565114016299155,1294.0,,,0,,,0,0,-0.40546510810816466,-0.0583949664891656,-0.04323767905464633
2,2022-08-09,2022-08-08,SMWB,TRAIN,0,237418413.96,0,-1.052252808030971,1247.0,,,0,,,0,0,-0.10477895123317729,-0.043237679054646184,-0.03912769422386213
2,2022-08-23,2022-08-22,SMWB,TRAIN,0,237418413.96,0,-0.8922092254833996,1160.0,,,0,,,0,0,-0.0857005625846468,-0.039127694223862204,-0.07531789365643506
2,2022-09-07,2022-09-06,SMWB,TRAIN,0,237418413.96,0,-0.962930758350828,1158.0,,,0,,,0,0,-0.20763936477824507,-0.07531789365643524,-0.0871299095565912
2,2022-09-21,2022-09-20,SMWB,TRAIN,0,237418413.96,0,-1.4226195953295713,1262.0,,,0,,,0,0,-0.18634380284138993,-0.0871299095565911,-0.09076858812070382
2,2022-10-05,2022-10-04,SMWB,TRAIN,0,237418413.96,0,-2.13367479364508,1345.0,,,0,,,0,0,-0.3759582255987262,-0.09076858812070371,0.004662013105811371
2,2022-10-19,2022-10-18,SMWB,TRAIN,0,237418413.96,0,-2.359470015684259,1373.0,,,0,,,0,0,-0.517316142610655,0.004662013105811432,-0.03470379800831932
2,2022-11-02,2022-11-01,SMWB,TRAIN,0,237418413.96,0,-1.3782554741570188,1273.0,,,0,,,0,0,-0.38982715125563305,-0.034703798008319096,0.06373563068898055
2,2022-11-16,2022-11-15,SMWB,TRAIN,0,237418413.96,0,-0.5857225818214322,1150.0,,,0,,,0,0,-0.2551557691213462,0.06373563068898076,-0.259957524436926
