date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,ml_cash_signal_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2022-09-22,C4_TRIGGER,696264.3723913955,696264.3723913955,0.0,0,0.0,4373.412967924999,0.00012222222222222221,0,1,145,77,130,0,305,10,0,696.2251406572791
2022-09-23,C4_TRIGGER,696090.3658070184,43.005807018415815,0.0,20,0.05001224224621928,4547.424807924999,0.00012222222222222221,0,0,145,77,130,0,305,10,1,696.0511438774824
2022-09-26,C4_TRIGGER,689276.8860632838,43.011063283718066,0.0,20,0.05444967147288647,4547.424807924999,0.00012222222222222221,1,0,145,77,130,0,305,10,0,689.2380480462907
2022-09-27,C4_TRIGGER,693932.9563201914,43.01632019145274,0.0,20,0.05318934583497319,4547.424807924999,0.00012222222222222221,1,0,145,77,130,0,305,10,0,693.8938559521179
2022-09-28,C4_TRIGGER,733511.2533077418,43.02157774169836,32544.94173,20,0.057640833469614815,4555.563077925,0.00012222222222222221,1,0,145,77,131,1,306,10,0,733.4699228597076
2022-09-29,C4_TRIGGER,713035.3962810348,32591.946281034863,0.0,20,0.06248710825912343,4555.563077925,0.00012222222222222221,1,0,145,77,131,1,306,10,0,712.9952195662814
2022-09-30,C4_TRIGGER,728878.4847411358,32595.929741135875,0.0,20,0.06671992796888689,4555.563077925,0.00012222222222222221,1,0,145,77,131,1,306,10,0,728.8374153312243
2022-10-03,C4_TRIGGER,746174.7436881042,32599.913688104232,0.0,20,0.06808614259562205,4555.563077925,0.00012222222222222221,1,0,145,77,131,1,306,10,0,746.1326997026448
2022-10-04,C4_TRIGGER,753722.8081219995,32603.898121999442,0.0,20,0.06758452769516658,4555.563077925,0.00012222222222222221,1,0,146,77,131,1,306,10,0,753.6803388330652
2022-10-05,C4_TRIGGER,749494.823042881,32607.883042881018,0.0,20,0.06402376444067126,4555.563077925,0.00012222222222222221,1,0,146,77,131,0,306,10,0,749.4525919841263
2022-10-06,C4_TRIGGER,749701.3284508085,32611.868450808477,0.0,20,0.06616085381960818,4555.563077925,0.00012222222222222221,1,0,146,77,131,0,306,10,0,749.6590857562936
2022-10-07,C4_TRIGGER,737888.910393706,1.107933706045731,401849.67246,16,0.060001172773252794,4664.201270425,0.00012222222222222221,1,0,146,77,131,0,306,10,1,737.8473332820687
2022-10-10,C4_TRIGGER,724011.5854890874,401899.8954890874,0.0,16,0.05562789436966412,4664.201270425,0.00012222222222222221,1,0,146,77,131,0,306,10,0,723.9707903096333
2022-10-11,C4_TRIGGER,730914.4765874249,401949.0165874249,0.0,16,0.05860754078918047,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,730.873292457453
2022-10-12,C4_TRIGGER,728272.1736894522,401998.1436894522,0.0,16,0.06113593462515791,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,728.2311384427621
2022-10-13,C4_TRIGGER,733085.336795903,402047.2767959031,0.0,16,0.06487553032757071,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,733.044030346574
2022-10-14,C4_TRIGGER,725322.4959075114,402096.41590751143,0.0,16,0.06333770186256295,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,725.281626863458
2022-10-17,C4_TRIGGER,738525.1510250111,402145.5610250112,0.0,16,0.06576783462633229,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,738.4835380637392
2022-10-18,C4_TRIGGER,741500.8321491363,402194.7121491364,0.0,16,0.06395728493324421,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,741.4590515200426
2022-10-19,C4_TRIGGER,726481.8392806214,402243.8692806213,0.0,16,0.06137945587759643,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,726.4409049121699
2022-10-20,C4_TRIGGER,724120.8224202001,402293.0324202,0.0,16,0.0633496490912679,4664.201270425,0.00012222222222222221,1,0,147,77,131,0,306,10,0,724.0800210856786
2022-10-21,C4_TRIGGER,730215.0841696267,0.4044496267224334,158281.53972,18,0.060008538511402414,4804.3295704249995,0.00012222222222222221,1,0,147,77,131,0,306,10,1,730.1739394476419
2022-10-24,C4_TRIGGER,728083.7497405808,158301.28974058077,0.0,18,0.0603998097961517,4804.3295704249995,0.00012222222222222221,1,0,147,77,131,0,306,10,0,728.0427251108325
2022-10-25,C4_TRIGGER,738036.5232909934,158320.6376759935,137.50561500000003,18,0.060511002627429186,4804.363955424999,0.00012222222222222221,0,0,148,77,131,1,307,10,0,737.9949378619551
2022-10-26,C4_TRIGGER,748521.0503973957,158477.5103973957,0.0,18,0.06339231204627868,4804.363955424999,0.00012222222222222221,0,0,148,77,131,1,307,10,0,748.478874206865
2022-10-27,C4_TRIGGER,746677.4198708887,158496.8798708887,0.0,18,0.06530261757270135,4804.363955424999,0.00012222222222222221,0,0,148,77,131,1,307,10,0,746.6353475616213
2022-10-28,C4_TRIGGER,754087.2417117618,158516.25171176178,0.0,18,0.06639748987974298,4804.363955424999,0.00012222222222222221,0,0,148,77,131,1,307,10,0,754.044751888441
2022-10-31,C4_TRIGGER,767003.6359203043,158535.62592030433,0.0,18,0.07030084014569479,4804.363955424999,0.00012222222222222221,0,0,148,77,131,1,307,10,0,766.9604183094312
2022-11-01,C4_TRIGGER,776566.2424968057,158555.00249680568,0.0,18,0.06883999982811498,4804.363955424999,0.00012222222222222221,0,0,148,77,131,1,307,10,0,776.5224860710033
2022-11-02,C4_TRIGGER,765816.4514415553,158574.38144155528,0.0,18,0.06809635638126517,4804.363955424999,0.00012222222222222221,0,0,148,77,131,1,307,10,0,765.7733007238161
2022-11-03,C4_TRIGGER,774496.3422304807,158598.48223048073,0.0,18,0.06713427445022954,4804.363955424999,0.000151984126984127,1,0,148,77,131,1,307,10,0,774.4527024353434
2022-11-04,C4_TRIGGER,777539.7833159227,1.7632284227466648,202988.89008749998,15,0.0600073475353509,4894.763137925001,0.000151984126984127,1,0,148,77,131,0,307,10,1,777.4959720349588
2022-11-07,C4_TRIGGER,784160.814673153,203021.5046731529,0.0,15,0.060889296055811566,4894.763137925001,0.000151984126984127,1,0,148,77,131,0,307,10,0,784.116630323349
2022-11-08,C4_TRIGGER,786146.6207192995,203052.36071929964,0.0,15,0.06797598385795375,4894.763137925001,0.000151984126984127,1,0,148,77,131,0,307,10,0,786.1023244772059
2022-11-09,C4_TRIGGER,760489.2614550757,203083.22145507563,0.0,15,0.06963486887201535,4894.763137925001,0.000151984126984127,1,0,148,77,131,0,307,10,0,760.4464109033502
2022-11-10,C4_TRIGGER,749766.2741311934,203114.0868811936,17926.51725,15,0.061317161875909604,4899.245887925001,0.000151984126984127,1,0,148,78,131,1,308,10,0,749.7240277772472
2022-11-11,C4_TRIGGER,741446.2056594405,221074.1987944405,42122.006865,14,0.06310917723071124,4909.779022925,0.000151984126984127,1,0,149,78,132,3,310,10,0,741.4044281083328
2022-11-14,C4_TRIGGER,743391.5373049832,263236.20730498317,0.0,14,0.06283364506587973,4909.779022925,0.000151984126984127,1,0,149,78,132,1,310,10,0,743.3496501421577
2022-11-15,C4_TRIGGER,740861.9150301411,263276.21503014106,0.0,14,0.06477616007302463,4909.779022925,0.000151984126984127,1,0,149,78,132,1,310,10,0,740.8201704014915
2022-11-16,C4_TRIGGER,735688.4788358381,263316.2288358381,0.0,14,0.06518258934254764,4909.779022925,0.000151984126984127,0,0,149,78,132,1,310,10,0,735.6470257097862
2022-11-17,C4_TRIGGER,738097.2187229985,263356.2487229985,0.0,14,0.06467660192866208,4909.779022925,0.000151984126984127,0,0,149,78,132,1,310,10,0,738.0556298740136
2022-11-18,C4_TRIGGER,746914.6880671419,6.048547141904389,228584.75952,18,0.06003938698279935,5032.760597925,0.000151984126984127,0,0,149,78,132,1,310,10,1,746.8726023887533
2022-11-21,C4_TRIGGER,738385.5802415425,228625.55024154257,0.0,18,0.05993900908184336,5032.760597925,0.000151984126984127,0,0,149,78,132,1,310,10,0,738.3439751445304
