date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum
2020-03-17,C3,10296359225.612257,10296359225.612257,0.0,0,0.0,2491613.4042125246,9.92063492063492e-06,1,6,8,14,1,26
2020-03-18,C3,10296461372.033146,10296461372.033146,0.0,0,0.0,2491613.4042125246,9.92063492063492e-06,1,6,8,14,1,26
2020-03-19,C3,10296543089.980541,10296543089.980541,0.0,0,0.0,2491613.4042125246,7.936507936507936e-06,1,6,8,14,1,26
2020-03-20,C3,10296604378.927505,10296604378.927505,0.0,0,0.0,2491613.4042125246,5.9523809523809525e-06,1,6,8,14,1,26
2020-03-23,C3,10296665668.239285,10296665668.239285,0.0,0,0.0,2491613.4042125246,5.9523809523809525e-06,1,6,8,14,1,26
2020-03-24,C3,10296714699.98056,10296714699.98056,0.0,0,0.0,2491613.4042125246,4.7619047619047615e-06,1,6,8,14,1,26
2020-03-25,C3,10296755559.95953,10296755559.95953,0.0,0,0.0,2491613.4042125246,3.968253968253968e-06,1,6,8,14,1,26
2020-03-26,C3,10296796420.100641,10296796420.100641,0.0,0,0.0,2491613.4042125246,3.968253968253968e-06,1,6,8,14,1,26
2020-03-27,C3,10296837280.403896,10296837280.403896,0.0,0,0.0,2491613.4042125246,3.968253968253968e-06,1,6,8,14,1,26
2020-03-30,C3,10296874054.822754,10296874054.822754,0.0,0,0.0,2491613.4042125246,3.5714285714285714e-06,1,6,8,14,1,26
2020-03-31,C3,10296906743.311817,10296906743.311817,0.0,0,0.0,2491613.4042125246,3.1746031746031746e-06,1,6,8,14,1,26
2020-04-01,C3,10296931259.756445,10296931259.756445,0.0,0,0.0,2491613.4042125246,2.3809523809523808e-06,1,6,8,14,1,26
2020-04-02,C3,10296951690.17561,10296951690.17561,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-03,C3,10296972120.635311,10296972120.635311,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-06,C3,10296992551.13555,10296992551.13555,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-07,C3,10297012981.676325,10297012981.676325,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-08,C3,10297033412.257637,10297033412.257637,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-09,C3,10297053842.879486,10297053842.879486,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-13,C3,10297074273.541872,10297074273.541872,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-14,C3,10297094704.244795,10297094704.244795,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-15,C3,10297115134.988255,10297115134.988255,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-16,C3,10297135565.772251,10297135565.772251,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-17,C3,10297155996.596786,10297155996.596786,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-20,C3,10297176427.461859,10297176427.461859,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-21,C3,10297196858.367468,10297196858.367468,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-22,C3,10297217289.313614,10297217289.313614,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-23,C3,10297233634.102962,10297233634.102962,0.0,0,0.0,2491613.4042125246,1.5873015873015873e-06,1,6,8,14,1,26
2020-04-24,C3,10297254065.122076,10297254065.122076,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-04-27,C3,10297270409.969799,10297270409.969799,0.0,0,0.0,2491613.4042125246,1.5873015873015873e-06,1,6,8,14,1,26
2020-04-28,C3,10297286754.843466,10297286754.843466,0.0,0,0.0,2491613.4042125246,1.5873015873015873e-06,1,6,8,14,1,26
2020-04-29,C3,10297303099.743076,10297303099.743076,0.0,0,0.0,2491613.4042125246,1.5873015873015873e-06,1,6,8,14,1,26
2020-04-30,C3,10297323530.900019,10297323530.900019,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-01,C3,10297343962.0975,10297343962.0975,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-04,C3,10297364393.33552,10297364393.33552,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-05,C3,10297384824.614077,10297384824.614077,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-06,C3,10297405255.933172,10297405255.933172,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-07,C3,10297425687.292807,10297425687.292807,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-08,C3,10297446118.69298,10297446118.69298,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-11,C3,10297466550.13369,10297466550.13369,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-12,C3,10297486981.614939,10297486981.614939,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-13,C3,10297507413.136726,10297507413.136726,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-14,C3,10297527844.699053,10297527844.699053,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-15,C3,10297548276.301918,10297548276.301918,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-18,C3,10297568707.945322,10297568707.945322,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
2020-05-19,C3,10297589139.629265,10297589139.629265,0.0,0,0.0,2491613.4042125246,1.984126984126984e-06,1,6,8,14,1,26
