ticker,value_start,value_end,delta_value,delta_pct_of_total,from_date,to_date,window_type
FIVN,101.22,103.58,2.3599999999999994,0.03384869015895802,2020-06-11,2020-06-15,dd_gt_10pct
QDEL,158.37,203.44,45.06999999999999,0.6464239260441687,2020-06-11,2020-06-15,dd_gt_10pct
SMMT,5445.5199999999995,5540.5,94.98000000000047,1.3622663522448515,2020-06-11,2020-06-15,dd_gt_10pct
ZS,5544.72,5644.08,99.35999999999967,1.4250872263534147,2020-06-11,2020-06-15,dd_gt_10pct
PTON,2069.1,2247.2999999999997,178.19999999999982,2.5558629603077603,2020-06-11,2020-06-15,dd_gt_10pct
BAND,5270.849999999999,5506.2,235.35000000000036,3.3755462834367727,2020-06-11,2020-06-15,dd_gt_10pct
THM,4865.455199999999,5212.68,347.22480000000087,4.980129097756865,2020-06-11,2020-06-15,dd_gt_10pct
VMD,3964.2899999999995,4316.07,351.7800000000002,5.0454628068297716,2020-06-11,2020-06-15,dd_gt_10pct
FVRR,6150.599999999999,6524.94,374.34000000000015,5.369033336484896,2020-06-11,2020-06-15,dd_gt_10pct
RRC,5151.98,5555.25,403.27000000000044,5.783966644238568,2020-06-11,2020-06-15,dd_gt_10pct
W,5539.7,5988.89,449.1900000000005,6.442581835806091,2020-06-11,2020-06-15,dd_gt_10pct
UNFI,3834.0899999999997,4301.28,467.19000000000005,6.700749811594747,2020-06-11,2020-06-15,dd_gt_10pct
ZM,7106.24,7648.64,542.4000000000005,7.779461670431717,2020-06-11,2020-06-15,dd_gt_10pct
NAK,5822.740000000001,6435.66,612.9199999999992,8.790906428910393,2020-06-11,2020-06-15,dd_gt_10pct
FSLY,5498.4,6237.599999999999,739.1999999999998,10.602098205721088,2020-06-11,2020-06-15,dd_gt_10pct
NVAX,5820.33,6690.17,869.8400000000001,12.475824003333921,2020-06-11,2020-06-15,dd_gt_10pct
KOPN,6001.17,7161.0599999999995,1159.8899999999994,16.635914079861784,2020-06-11,2020-06-15,dd_gt_10pct
EXPI,7919.03,0.0,-7919.03,130.1208283731015,2020-09-03,2020-09-09,dd_gt_10pct
PBI,7079.160000000001,6533.56,-545.6000000000004,8.96497727125219,2020-09-03,2020-09-09,dd_gt_10pct
SITM,8211.710000000001,7732.590000000001,-479.1199999999999,7.872617137467641,2020-09-03,2020-09-09,dd_gt_10pct
BXC,7757.679999999999,7283.36,-474.3199999999997,7.793746369685362,2020-09-03,2020-09-09,dd_gt_10pct
EVH,7125.3,6994.8,-130.5,2.1442989990806636,2020-09-03,2020-09-09,dd_gt_10pct
