variant,split,equity_final,cagr,mdd,avg_tickers,max_concentration_pct,cost_total,days,defensive_days_pct,n_defensive_sells_25,n_defensive_sells_50,n_defensive_sells_100,quarantine_entries,top_n,rebalance_cadence,buffer_k,k_damp,max_weight_cap
C4,TRAIN,410545.66,32.6676,-36.7664,20.2629,17.4342,4706.07,1259,69.8173,112,86,296,442,25,10,10,10.0,0.08
C4,HOLDOUT,1027347.64,33.3898,-41.8425,22.0786,41.0331,11457.42,802,68.8279,159,152,457,691,25,10,10,10.0,0.1
C4,TRAIN,411187.66,32.7091,-37.0422,20.17,17.5535,4704.69,1259,69.4996,111,94,300,450,25,10,10,10.0,0.1
C4,HOLDOUT,1063550.18,35.3841,-41.8439,22.399,39.7012,11920.54,802,67.207,160,163,460,713,25,10,10,100.0,0.06
C4,TRAIN,406415.42,32.3994,-33.9164,20.7554,16.0154,4817.61,1259,69.2613,108,96,300,460,25,10,10,100.0,0.06
C4,HOLDOUT,1046447.13,34.8368,-41.0488,21.9077,39.7488,11598.18,802,68.8279,159,162,463,713,25,10,10,100.0,0.08
C4,TRAIN,404765.18,32.2916,-35.5158,20.2685,17.6716,4738.88,1259,71.1676,107,101,306,463,25,10,10,100.0,0.08
C4,HOLDOUT,982039.77,33.4958,-40.4102,21.9776,39.7276,11088.91,802,66.4589,158,162,435,682,25,10,10,100.0,0.1
C4,TRAIN,392167.02,31.457,-35.9853,20.4591,17.7392,4485.5,1259,68.0699,103,97,287,436,25,10,10,100.0,0.1
C4,HOLDOUT,1096902.68,35.7811,-40.4725,22.6546,37.54,11903.67,802,69.9501,155,164,448,692,25,10,30,0.0,0.06
C4,TRAIN,415331.39,32.9757,-37.4618,20.7617,16.2003,4705.76,1259,67.4345,102,94,292,437,25,10,30,0.0,0.06
C4,HOLDOUT,1011343.27,33.6705,-39.6677,22.2219,37.5809,11258.56,802,69.7007,170,153,458,698,25,10,30,0.0,0.08
C4,TRAIN,402141.92,32.1195,-38.1353,20.6656,18.0507,4627.0,1259,70.6116,113,88,298,443,25,10,30,0.0,0.08
C4,HOLDOUT,1081787.35,32.8035,-41.1829,22.0698,37.5506,12146.3,802,68.3292,154,165,445,692,25,10,30,0.0,0.1
C4,TRAIN,439165.78,34.4692,-36.5617,20.4956,18.0003,4890.05,1259,68.9436,101,100,289,442,25,10,30,0.0,0.1
C4,HOLDOUT,1032928.86,34.4195,-40.9885,22.4252,40.9936,11364.74,802,67.8304,163,153,444,691,25,10,30,10.0,0.06
C4,TRAIN,403802.92,32.2286,-38.5012,20.4281,16.0621,4435.62,1259,67.911,107,91,288,438,25,10,30,10.0,0.06
C4,HOLDOUT,1066011.09,35.8489,-39.7742,21.6197,41.0822,11522.86,802,67.4564,162,154,450,698,25,10,30,10.0,0.08
C4,TRAIN,402572.07,32.1478,-36.3403,20.5965,17.5585,4706.65,1259,70.8499,110,93,303,455,25,10,30,10.0,0.08
C4,HOLDOUT,1104327.37,34.1166,-41.3372,21.5586,41.0506,11970.59,802,66.8329,147,156,446,678,25,10,30,10.0,0.1
C4,TRAIN,434450.13,34.179,-36.0361,20.3201,17.8735,4768.04,1259,69.1819,96,96,299,443,25,10,30,10.0,0.1
C4,HOLDOUT,1049378.18,35.716,-40.7233,22.2282,39.9722,11470.71,802,66.5835,159,158,454,706,25,10,30,100.0,0.06
C4,TRAIN,397883.69,31.8383,-38.0519,20.8578,16.0379,4614.87,1259,69.6585,108,94,303,461,25,10,30,100.0,0.06
C4,HOLDOUT,1077240.76,35.8998,-40.3055,21.7693,39.7804,11661.21,802,67.3317,169,162,450,701,25,10,30,100.0,0.08
C4,TRAIN,406333.87,32.394,-38.4414,20.4186,17.7012,4608.02,1259,70.2939,114,99,302,453,25,10,30,100.0,0.08
C4,HOLDOUT,1043639.28,31.9118,-40.9135,21.9988,39.7741,11765.4,802,66.8329,165,158,452,703,25,10,30,100.0,0.1
C4,TRAIN,432904.35,34.0833,-37.0422,20.3566,17.8054,4742.47,1259,70.691,106,96,303,456,25,10,30,100.0,0.1
