date,variant,ticker,event,score,z_prev,sell_pct,sold_shares,proceeds_net,trade_cost,settle_dt
2022-01-07,C1,DOGZ,defensive_sell,6.0,-6.877359392849685,1.0,3116,10716.360239999998,2.67976,2022-01-10
2022-01-07,C1,REAX,defensive_sell,4.0,-2.2171770272857465,0.25,867,2687.028075,0.6719250000000001,2022-01-10
2022-01-07,C1,DOGZ,rebalance_sell,,,1.0,1,3.43914,0.00086,2022-01-10
2022-01-07,C1,REAX,rebalance_sell,,,1.0,2602,8064.18345,2.01655,2022-01-10
2022-01-07,C1,TRT,rebalance_sell,,,1.0,2,19.895024999999997,0.004974999999999999,2022-01-10
2022-01-10,C1,AOSL,rebalance_sell,,,1.0,1,51.94701,0.01299,2022-01-11
2022-01-10,C1,REAX,rebalance_sell,,,1.0,1,3.07923,0.0007700000000000001,2022-01-11
2022-01-11,C1,CPSS,rebalance_sell,,,1.0,999,10576.765147500002,2.6448525,2022-01-12
2022-01-12,C1,ACET,rebalance_sell,,,1.0,684,10202.728679999998,2.5513199999999996,2022-01-13
2022-01-12,C1,OXBR,rebalance_sell,,,1.0,1941,9877.2200775,2.4699225,2022-01-13
2022-01-12,C1,SMID,rebalance_sell,,,1.0,291,9644.238337499999,2.4116625,2022-01-13
2022-01-13,C1,ACET,rebalance_sell,,,1.0,2,28.43289,0.007110000000000001,2022-01-14
2022-01-13,C1,CPSS,rebalance_sell,,,1.0,3,32.03199,0.00801,2022-01-14
2022-01-13,C1,OXBR,rebalance_sell,,,1.0,1,5.1387149999999995,0.001285,2022-01-14
2022-01-13,C1,SMID,rebalance_sell,,,1.0,1,32.911770000000004,0.008230000000000001,2022-01-14
2022-01-14,C1,BWMN,rebalance_sell,,,1.0,275,5718.57,1.43,2022-01-18
2022-01-14,C1,HUDI,rebalance_sell,,,1.0,800,15804.047999999999,3.9520000000000004,2022-01-18
2022-01-18,C1,ASRT,rebalance_sell,,,1.0,4758,10179.574470000001,2.5455300000000003,2022-01-19
2022-01-18,C1,BWMN,rebalance_sell,,,1.0,1,20.9847525,0.0052474999999999996,2022-01-19
