date,equity,top1_ticker,top1_weight_pct,n_tickers,n_positions_gt_10pct,max_concentration_pct,trim_events_today,regime_defensive_used
2023-05-02,404169.9778276912,RIOT,5.98079058962302,20,0,5.98079058962302,0,1
2023-05-03,405471.4396049415,ELF,5.541749135745085,20,0,5.541749135745085,0,1
2023-05-04,402538.6360919773,LNTH,5.820663633054669,20,0,5.820663633054669,0,1
2023-05-05,411070.5734510149,RIOT,5.760587482874599,20,0,5.760587482874599,0,1
2023-05-08,407874.0015068328,APLS,5.556186448824284,20,0,5.556186448824284,0,0
2023-05-09,414010.23790090636,RIOT,5.670120651851785,20,0,5.670120651851785,0,0
2023-05-10,417792.89717127674,RIOT,6.031351937912361,20,0,6.031351937912361,0,0
2023-05-11,412180.23931953195,XERS,5.977715001737211,20,0,5.977715001737211,0,1
2023-05-12,408062.84934725985,XERS,5.9966742964086786,20,0,5.9966742964086786,0,1
2023-05-15,407734.5628887868,XERS,5.8773334863290385,19,0,5.8773334863290385,0,1
2023-05-16,406462.21698744054,XERS,5.916490880317931,19,0,5.916490880317931,0,1
2023-05-17,415369.7150234919,XERS,5.688041074122068,19,0,5.688041074122068,0,0
2023-05-18,415074.552077695,XERS,5.71241476532672,19,0,5.71241476532672,0,0
2023-05-19,418316.873786963,XERS,5.8496803579723595,19,0,5.8496803579723595,0,0
2023-05-22,418836.37515223445,XERS,5.943156200545492,19,0,5.943156200545492,0,0
2023-05-23,410935.29617444763,XERS,5.728887301519627,19,0,5.728887301519627,0,1
2023-05-24,406745.8423545415,XERS,5.953855572269405,19,0,5.953855572269405,0,1
2023-05-25,402180.37220847653,XERS,5.958500627071358,19,0,5.958500627071358,0,1
2023-05-26,399232.8668520963,RXST,5.911963157267814,19,0,5.911963157267814,0,1
2023-05-30,397176.325531128,RXST,5.701246158043053,17,0,5.701246158043053,0,1
2023-05-31,395109.6573990207,AQST,5.636004988233222,17,0,5.636004988233222,0,0
2023-06-01,405416.89637148054,RXST,5.809575331171831,17,0,5.809575331171831,0,0
2023-06-02,404773.03644953633,XERS,5.8786425619451,17,0,5.8786425619451,0,0
2023-06-05,404017.9536342175,XERS,5.931399776777252,17,0,5.931399776777252,0,1
2023-06-06,410393.3259265532,XERS,6.065425148861914,17,0,6.065425148861914,0,1
2023-06-07,406983.69332757336,XERS,6.0125750493655294,17,0,6.0125750493655294,0,1
2023-06-08,412460.9158383076,XERS,6.035020299901136,17,0,6.035020299901136,0,1
2023-06-09,405018.1784597862,XERS,5.895918077260073,17,0,5.895918077260073,0,1
2023-06-12,402150.5111930392,XERS,5.8855053869715634,17,0,5.8855053869715634,0,1
2023-06-13,411198.5370082973,SYM,6.0032266115533135,19,0,6.0032266115533135,1,1
2023-06-14,412307.96516210685,SYM,6.145265709343768,19,0,6.145265709343768,0,1
2023-06-15,409769.05634847877,SYM,6.24367301620797,19,0,6.24367301620797,0,1
2023-06-16,401687.94822852843,SYM,6.7071267930279825,19,0,6.7071267930279825,0,1
2023-06-20,402889.1369482672,SYM,6.637518251933851,19,0,6.637518251933851,0,1
2023-06-21,400068.4698847009,BTBT,6.6805964508281965,19,0,6.6805964508281965,0,1
2023-06-22,395573.9270386776,BTBT,6.907391547403069,19,0,6.907391547403069,0,0
2023-06-23,385487.6484110462,BTBT,7.483819551395339,19,0,7.483819551395339,0,0
2023-06-26,373743.234002655,BTBT,7.115665938667154,19,0,7.115665938667154,0,1
2023-06-27,375708.8603943532,BTBT,7.90808073272859,19,0,7.90808073272859,0,1
2023-06-28,397274.4845929454,CVNA,6.004294492872041,21,0,6.004294492872041,3,1
2023-06-29,387252.5116230837,BTBT,6.005445878847006,21,0,6.005445878847006,0,0
2023-06-30,393010.77284393477,APLD,6.109450849464304,21,0,6.109450849464304,0,0
2023-07-03,397668.48910068267,APLD,6.399521384646796,21,0,6.399521384646796,0,1
2023-07-05,394750.4203943426,AAOI,6.842110509475492,21,0,6.842110509475492,0,1
