date,variant,ticker,event,weight_before,weight_cap,value_sold_gross,proceeds_net,trade_cost,sold_shares,settle_dt
2020-10-27,C4,NFE,concentration_trim,0.06358486562239875,0.06,548.7773618749034,540.62481,0.13519,11,2020-10-28
2020-10-27,C4,PACB,concentration_trim,0.06742281594031262,0.06,1136.2973618749056,1126.99818,0.28182,77,2020-10-28
2020-11-10,C4,KURA,concentration_trim,0.0618163302940862,0.06,273.8126206654106,235.86102000000002,0.058980000000000005,6,2020-11-11
2020-11-10,C4,LOB,concentration_trim,0.06274349166666095,0.06,413.5826206654092,388.6128225,0.0971775,9,2020-11-11
2020-11-10,C4,PACB,concentration_trim,0.061070992583400804,0.06,161.45262066541,161.219685,0.040315,11,2020-11-11
2020-11-24,C4,APPN,concentration_trim,0.06365868128086886,0.06,587.744322336177,531.1071900000001,0.13281,4,2020-11-25
2020-11-24,C4,LMB,concentration_trim,0.06106542775739992,0.06,171.15432233617685,159.84002999999998,0.03997,14,2020-11-25
2020-12-09,C4,GSM,concentration_trim,0.07092977996979734,0.06,1899.773619205038,1898.2753125,0.4746875,1085,2020-12-10
2020-12-09,C4,PACB,concentration_trim,0.07450873140636727,0.06,2521.853619205038,2518.1702999999998,0.6296999999999999,120,2020-12-10
2020-12-23,C4,DAC,concentration_trim,0.06706452525877601,0.06,1473.0900870294408,1451.4370500000002,0.36295000000000005,68,2020-12-24
2020-12-23,C4,FCEL,concentration_trim,0.06860620485796357,0.06,1794.5600870294384,1784.413785,0.446215,133,2020-12-24
2020-12-23,C4,MGNI,concentration_trim,0.07116980409441395,0.06,2329.1200870294397,2314.2512925,0.5787075,73,2020-12-24
2020-12-23,C4,PACB,concentration_trim,0.06792895350325778,0.06,1653.340087029439,1652.58675,0.41325,58,2020-12-24
2020-12-23,C4,RIOT,concentration_trim,0.06550769118939391,0.06,1148.4600870294398,1140.334845,0.28515500000000005,82,2020-12-24
2021-01-08,C4,DAC,concentration_trim,0.06455809343756103,0.06,1138.9046265745746,1126.39833,0.28167000000000003,41,2021-01-11
2021-01-08,C4,MARA,concentration_trim,0.1018151230771405,0.06,10448.104626574574,10421.4439875,2.6060125000000003,395,2021-01-11
2021-01-08,C4,PACB,concentration_trim,0.06448021114941745,0.06,1119.4446265745755,1100.72475,0.27525,30,2021-01-11
2021-01-08,C4,RIOT,concentration_trim,0.09577600398581795,0.06,8939.144626574574,8932.00644,2.23356,336,2021-01-11
2021-01-25,C4,FCEL,concentration_trim,0.06569555213977787,0.06,1460.0196972037302,1443.639,0.361,80,2021-01-26
2021-02-08,C4,CLNE,concentration_trim,0.06427602637238829,0.06,1505.0454424975687,1500.7047300000002,0.37527000000000005,84,2021-02-09
2021-02-08,C4,FCEL,concentration_trim,0.06395568921852354,0.06,1392.2954424975687,1371.93693,0.34307,52,2021-02-09
2021-02-08,C4,MARA,concentration_trim,0.06405382177102453,0.06,1426.835442497566,1410.72723,0.35277,44,2021-02-09
2021-02-08,C4,MGNI,concentration_trim,0.06581969631304754,0.06,2048.375442497567,1993.601475,0.498525,34,2021-02-09
2021-02-08,C4,RIOT,concentration_trim,0.060647536888438984,0.06,227.9154424975677,196.69081500000001,0.049185000000000006,6,2021-02-09
2021-02-08,C4,SI,concentration_trim,0.07157653141742397,0.06,4074.625442497567,4029.87228,1.00772,28,2021-02-09
