arm,split,n_days,n_cycles,equity_final,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,avg_tickers,cash_idle_days_pct,turnover_mean_pct,defensive_sells_total,defensive_sells_per_cycle,offset
A1,SW2,511,52,594612.9904489521,-0.07551186829743566,1.5863831271970348,0.028962818003913895,15.420743639921723,0.0,15.256322145359997,296,5.6923076923076925,4
A2,SW2,511,52,381236.7703941058,-0.07647133229064161,1.2487087350897383,0.03522504892367906,15.800391389432486,0.9784735812133072,15.497384423058188,360,6.923076923076923,4
Zero-A,SW2,511,52,467791.0561309677,-0.1267711822703481,0.7795186828759402,0.0,16.522504892367905,0.0,6.096132235440843,0,0.0,5
Zero-B,SW2,511,52,511380.4018225867,-0.07394465249001579,1.656563491696365,0.028571428571428574,15.234833659491194,0.0,15.431005319231271,292,5.615384615384615,5
A1,SW2,511,52,519933.8593434718,-0.07324401716780946,1.666777988069372,0.030039138943248535,15.287671232876713,0.0,15.600555294959516,307,5.903846153846154,5
A2,SW2,511,52,408700.4992621382,-0.07500115660085709,1.4639896342368344,0.03708414872798435,15.996086105675147,2.73972602739726,16.028426555695738,379,7.288461538461538,5
Zero-A,SW2,511,52,349837.42202117,-0.1254291651166817,0.6238935240434085,0.0,16.538160469667318,0.0,6.523321267095315,0,0.0,6
Zero-B,SW2,511,52,350140.71843586577,-0.07360409623530166,1.2447737349714396,0.026516634050880627,15.708414872798434,0.0,14.848281349572304,271,5.211538461538462,6
A1,SW2,511,52,360480.65035209386,-0.07316639784979885,1.2768161215778258,0.027592954990215263,15.63013698630137,0.0,15.009566759594614,282,5.423076923076923,6
A2,SW2,511,52,227348.849091643,-0.07411686673999424,0.9874006423350248,0.03424657534246575,15.960861056751467,1.1741682974559686,15.569433901590232,350,6.730769230769231,6
Zero-A,SW2,511,52,459457.6663813415,-0.12632152765698024,0.7719131022144028,0.0,15.962818003913894,0.0,5.6717520523349965,0,0.0,7
Zero-B,SW2,511,52,365979.02076325554,-0.07282660546210964,1.3399988735159891,0.028864970645792565,15.365949119373777,0.0,14.724143652831911,295,5.673076923076923,7
A1,SW2,511,52,370386.60940681706,-0.072854731341975,1.3559334222180779,0.030430528375733856,15.228962818003914,0.0,15.011760477593098,311,5.980769230769231,7
A2,SW2,511,52,299665.4195284511,-0.0741121088490538,1.2888583852929267,0.036203522504892366,15.853228962818005,1.9569471624266144,15.915380085384232,370,7.115384615384615,7
Zero-A,SW2,511,52,652079.8628835292,-0.13116099921909308,0.7937790483556099,0.0,15.892367906066536,0.0,5.879806172997277,0,0.0,8
Zero-B,SW2,511,52,395743.637710117,-0.07261870854338769,1.314817380719786,0.029256360078277886,15.189823874755382,0.0,15.226825626389044,299,5.75,8
A1,SW2,511,52,373288.84343677835,-0.07228981473730425,1.2885612239631747,0.030821917808219176,15.082191780821917,0.0,15.481279388424054,315,6.0576923076923075,8
A2,SW2,511,52,378914.2398337886,-0.07124935727724727,1.314880267619627,0.036790606653620356,15.720156555772995,3.522504892367906,15.963210699680804,376,7.230769230769231,8
Zero-A,SW2,511,52,504530.3524135418,-0.1253074602518198,0.628374574390046,0.0,16.31311154598826,0.0,5.875029527095535,0,0.0,9
Zero-B,SW2,511,52,389502.73198711505,-0.07560588692677239,1.1832784967439052,0.029647749510763207,14.91976516634051,0.0,14.944006732376632,303,5.826923076923077,9
A1,SW2,511,52,399712.981280408,-0.07575195313198116,1.2042971903345518,0.030626223091976514,14.681017612524462,0.0,15.175829306115126,313,6.019230769230769,9
A2,SW2,511,52,326683.2322754983,-0.07559222195362278,1.0941475973915762,0.038454011741682975,15.729941291585128,3.7181996086105675,16.197234917267824,393,7.5576923076923075,9
