date,arm,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,trigger_spc_today,trigger_medio_grave_today,cash_idle_gt5,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day
2024-12-20,A2,SW2,1,-1,94158.14200473735,92994.79200473735,0.0,1163.3500000000004,20,0.0002614679911419707,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2024-12-23,A2,SW2,1,-1,94176.27587177626,93010.77087177626,0.0,1165.5050000000006,20,0.00019257093100027794,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2024-12-24,A2,SW2,1,-1,94207.30248439034,93026.75248439034,0.0,1180.5500000000002,20,0.0003293982752143484,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2024-12-26,A2,SW2,1,-1,94239.37684305136,93042.73684305136,0.0,1196.64,20,0.0003404077915855036,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2024-12-27,A2,SW2,1,-1,94233.28394823114,93058.72394823114,0.0,1174.5600000000004,20,-6.465547625596339e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2024-12-30,A2,SW2,1,-1,94236.64380040161,93074.71380040162,0.0,1161.93,20,3.5653986935231164e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2024-12-31,A2,SW2,1,-1,94257.76640003479,93090.70640003479,0.0,1167.0600000000002,20,0.00022411910994202047,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-02,A2,SW2,1,-1,94269.83174760274,93106.70174760274,0.0,1163.1299999999999,20,0.00012799555824167782,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-03,A2,SW2,1,-1,94311.86984357763,93122.69984357763,0.0,1189.1700000000005,20,0.0004458343128363412,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-06,A2,SW2,1,-1,94329.9006884317,93138.70068843171,0.0,1191.2,20,0.00019116492448231678,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-07,A2,SW2,1,-1,94336.1042826373,93154.7042826373,0.0,1181.3999999999992,20,6.576271341290578e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-08,A2,SW2,1,-1,94346.56062666683,93170.71062666683,0.0,1175.8500000000004,20,0.00011083523804651103,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-10,A2,SW2,1,-1,94344.37972099277,93186.71972099277,0.0,1157.6599999999999,20,-2.311616731723921e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-13,A2,SW2,1,-1,94367.5815660877,93202.73156608769,0.0,1164.8500000000001,20,0.0002458969219925947,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-14,A2,SW2,1,-1,94397.80616242425,93218.74616242426,0.0,1179.06,20,0.00032023451924692673,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-15,A2,SW2,1,-1,94459.63351047518,93234.76351047518,0.0,1224.8699999999992,20,0.0006547515455762517,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-16,A2,SW2,1,-1,94475.7636107133,93250.7836107133,0.0,1224.9799999999996,20,0.00017074725565545678,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-17,A2,SW2,1,-1,94482.9664636115,93266.8064636115,0.0,1216.1599999999999,20,7.623731275984745e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-21,A2,SW2,1,-1,94497.33206964275,93282.83206964275,0.0,1214.5,20,0.00015203284332201443,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-22,A2,SW2,1,-1,94507.45042928013,93298.86042928013,0.0,1208.5900000000001,20,0.0001070698795370541,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-23,A2,SW2,1,-1,94535.99154299677,93314.89154299676,0.0,1221.1,20,0.00030195296526259026,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-24,A2,SW2,1,-1,94541.01541126586,93330.92541126587,0.0,1210.0900000000001,20,5.314097521656879e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-27,A2,SW2,1,-1,94548.99203456074,93346.96203456074,0.0,1202.0300000000016,20,8.436853334933692e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-28,A2,SW2,1,-1,94558.54141335477,93363.00141335478,0.0,1195.5399999999986,20,0.00010099416589104807,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-29,A2,SW2,1,-1,94576.90854812146,93379.04354812145,0.0,1197.8649999999993,20,0.00019422202266313954,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-30,A2,SW2,1,-1,94609.43843933429,93395.08843933429,0.0,1214.3500000000008,20,0.000343892591103039,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-01-31,A2,SW2,1,-1,94593.50608746691,93411.13608746692,0.0,1182.3699999999992,20,-0.00016841547519125382,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-03,A2,SW2,1,-1,94583.44649299305,93427.18649299306,0.0,1156.26,20,-0.0001063511632481709,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-04,A2,SW2,1,-1,94626.7996563865,93443.2396563865,0.0,1183.56,20,0.00045825387403053376,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-05,A2,SW2,1,-1,94653.43557812112,93459.29557812112,0.0,1194.1400000000003,20,0.0002814443027020663,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-06,A2,SW2,1,-1,94655.76425867087,93475.35425867086,0.0,1180.4099999999996,20,2.460187409658846e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-07,A2,SW2,1,-1,94660.74569850977,93491.41569850977,0.0,1169.329999999999,20,5.262551946665248e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-10,A2,SW2,1,-1,94711.28989811194,93507.47989811194,0.0,1203.8100000000004,20,0.0005338084965200873,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-11,A2,SW2,1,-1,94722.56685795159,93523.54685795159,0.0,1199.0199999999993,20,0.00011905960260844928,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-12,A2,SW2,1,-1,94748.716578503,93539.61657850299,0.0,1209.1000000000004,20,0.0002760283272815666,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-13,A2,SW2,1,-1,94758.0090602405,93555.68906024049,0.0,1202.3200000000004,20,9.807020530421047e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-14,A2,SW2,1,-1,94772.85430363854,93571.76430363854,0.0,1201.0900000000008,20,0.00015665251732527907,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-18,A2,SW2,1,-1,94794.14230917167,93587.84230917167,0.0,1206.300000000001,20,0.00022459611644421018,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-19,A2,SW2,1,-1,94785.60307731447,93603.92307731448,0.0,1181.68,20,-9.008590918367202e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-20,A2,SW2,1,-1,94788.62660854166,93620.00660854166,0.0,1168.6199999999997,20,3.189812489235089e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-21,A2,SW2,1,-1,94756.08290332799,93636.09290332798,0.0,1119.9899999999996,20,-0.00034338817070935103,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-24,A2,SW2,1,-1,94744.12196214829,93652.18196214829,0.0,1091.94,20,-0.00012623670991884458,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-25,A2,SW2,1,-1,94749.4437854775,93668.2737854775,0.0,1081.1700000000005,20,5.616890800089991e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-26,A2,SW2,1,-1,94758.51837379065,93684.36837379065,0.0,1074.1499999999999,20,9.576999527282719e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-27,A2,SW2,1,-1,94751.23572756283,93700.46572756283,0.0,1050.7700000000004,20,-7.68577455649403e-05,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-02-28,A2,SW2,1,-1,94771.7458472692,93716.5658472692,0.0,1055.18,20,0.0002164393955392922,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
2025-03-03,A2,SW2,1,-1,94741.59873338504,93732.66873338503,0.0,1008.9300000000004,20,-0.00031815294279312676,0.0,0,0.0,0,0,1,0.0,0.0,0.0,0
