arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_R001_Downside,2,2025-08-20,2025-08-19,2025-09-04,2025-09-03,SW2,1,10,20,1,0.05,VOR;MFI;TNGX;MP;SBET;PRME;NVTS;LCTX;VFF;VSAT;RDDT;KOD;W;PGY;URGN;PGEN;PHAT;TLRY;PHOE;JOBY,VOR;MFI;TNGX;MP;SBET;PRME;NVTS;LCTX;VFF;VSAT;RDDT;W;PGY;URGN;PGEN;PHAT;TLRY;PHOE;JOBY;TLS,KOD,TLS,0.017514809035335328,0.029513971536257934,0.029488971536257933,2.5e-05
Arm_R001_Downside,2,2025-09-04,2025-09-03,2025-09-18,2025-09-17,SW2,1,10,20,0,0.0,VOR;URGN;SATS;PGEN;VSAT;MP;SLDP;IMRX;PRME;PHAT;TLS;METCB;TNGX;KOD;IDR;VFF;EOSE;RIGL;PGY;UUUU,VOR;URGN;SATS;PGEN;VSAT;MP;SLDP;IMRX;PRME;PHAT;TLS;METCB;TNGX;KOD;IDR;VFF;EOSE;RIGL;PGY;UUUU,,,0.0432488431271036,0.0432488431271036,0.0432488431271036,0.0
Arm_R001_Downside,2,2025-09-18,2025-09-17,2025-10-02,2025-10-01,SW2,1,10,20,0,0.0,VOR;RZLV;TLRY;IMRX;SATS;MLYS;KOD;RUN;PRME;VSAT;UUUU;PGEN;TLS;VFF;FBYD;WBTN;HUT;HIVE;PGY;LPTH,VOR;RZLV;TLRY;IMRX;SATS;MLYS;KOD;RUN;PRME;VSAT;UUUU;PGEN;TLS;VFF;FBYD;WBTN;HUT;HIVE;PGY;LPTH,,,0.028740250215830366,0.028740250215830366,0.028740250215830366,0.0
Arm_R001_Downside,2,2025-10-02,2025-10-01,2025-10-16,2025-10-15,SW2,1,10,20,0,0.0,KOD;ZURA;RLMD;TLRY;SNDK;IDR;NB;UUUU;EOSE;LPTH;SATS;LAC;RR;MNPR;LDI;NBIS;VFF;KTOS;RGTI;ZBIO,KOD;ZURA;RLMD;TLRY;SNDK;IDR;NB;UUUU;EOSE;LPTH;SATS;LAC;RR;MNPR;LDI;NBIS;VFF;KTOS;RGTI;ZBIO,,,0.17023338683315353,0.17023338683315353,0.17023338683315353,0.0
Arm_R001_Downside,2,2025-10-16,2025-10-15,2025-10-30,2025-10-29,SW2,1,10,20,2,0.1,SNDK;TMQ;RLMD;RGTI;EOSE;HIVE;NB;RR;MLYS;STOK;UUUU;HL;THM;HUT;NAK;SATS;VFF;KOD;TLRY;HYMC,SNDK;RLMD;RGTI;EOSE;HIVE;RR;MLYS;STOK;UUUU;HL;THM;HUT;NAK;SATS;VFF;KOD;TLRY;HYMC;ENGN;NBIS,NB;TMQ,ENGN;NBIS,-0.13372046725505707,-0.10197145252057346,-0.10202145252057346,5e-05
Arm_R001_Downside,2,2025-10-30,2025-10-29,2025-11-13,2025-11-12,SW2,1,10,20,0,0.0,RLMD;LUMN;PRAX;MLYS;RGTI;HIVE;TLS;NAK;SATS;KOD;RR;HUT;EOSE;GLUE;STOK;STTK;FLNC;ZURA;REAL;NUVB,RLMD;LUMN;PRAX;MLYS;RGTI;HIVE;TLS;NAK;SATS;KOD;RR;HUT;EOSE;GLUE;STOK;STTK;FLNC;ZURA;REAL;NUVB,,,-0.03490693866258712,-0.03490693866258712,-0.03490693866258712,0.0
Arm_R001_Downside,2,2025-11-13,2025-11-12,2025-11-28,2025-11-26,SW2,1,10,20,0,0.0,RLMD;MLYS;GLUE;ZURA;SATS;PALI;HYMC;MNPR;NAUT;FLNC;ENGN;LITE;IVVD;SPHR;HL;PHOE;ZBIO;KYTX;VICR;RCUS,RLMD;MLYS;GLUE;ZURA;SATS;PALI;HYMC;MNPR;NAUT;FLNC;ENGN;LITE;IVVD;SPHR;HL;PHOE;ZBIO;KYTX;VICR;RCUS,,,0.05772635593058752,0.05772635593058752,0.05772635593058752,0.0
Arm_R001_Downside,2,2025-11-28,2025-11-26,2025-12-12,2025-12-11,SW2,1,10,20,0,0.0,RLMD;GLUE;NUVB;MLYS;RHLD;MNPR;RCUS;ZBIO;FLNC;LITE;KOD;HYMC;RLAY;IVVD;RVMD;FBYD;STTK;EOSE;KYTX;IMNM,RLMD;GLUE;NUVB;MLYS;RHLD;MNPR;RCUS;ZBIO;FLNC;LITE;KOD;HYMC;RLAY;IVVD;RVMD;FBYD;STTK;EOSE;KYTX;IMNM,,,0.052606362768047574,0.052606362768047574,0.052606362768047574,0.0
Arm_R001_Downside,2,2025-12-12,2025-12-11,2025-12-29,2025-12-26,SW2,1,10,20,0,0.0,IMMX;FLNC;PACS;RHLD;SNDK;NUVB;RLMD;KOD;GLUE;NAK;NAUT;RCUS;TRDA;LITE;JBIO;SRZN;IMNM;KYTX;ZURA;VSCO,IMMX;FLNC;PACS;RHLD;SNDK;NUVB;RLMD;KOD;GLUE;NAK;NAUT;RCUS;TRDA;LITE;JBIO;SRZN;IMNM;KYTX;ZURA;VSCO,,,0.02601644823505835,0.02601644823505835,0.02601644823505835,0.0
Arm_R001_Downside,2,2025-12-29,2025-12-26,2026-01-13,2026-01-12,SW2,1,10,20,0,0.0,PRAX;HYMC;NUVB;RHLD;IMMX;PACS;GLUE;LITE;VICR;RLMD;NAUT;MLTX;IVVD;PALI;SNDK;VSCO;REPL;GLSI;ZBIO;JBIO,PRAX;HYMC;NUVB;RHLD;IMMX;PACS;GLUE;LITE;VICR;RLMD;NAUT;MLTX;IVVD;PALI;SNDK;VSCO;REPL;GLSI;ZBIO;JBIO,,,-0.008468983051327154,-0.008468983051327154,-0.008468983051327154,0.0
