arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_spc_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_A_1.00,7,2024-01-29,2024-01-26,2024-02-12,2024-02-09,SW1,1,10,20,7,0.35,0,STTK;PRCH;NAMS;SLDB;KOD;GCT;VERA;KYMR;HOV;HNST;LDI;IVVD;VKTX;KURA;TMDX;TGTX;SPIR;PLSE;PBYI;IMNM,KYMR;HOV;HNST;LDI;IVVD;VKTX;KURA;TMDX;TGTX;SPIR;PLSE;PBYI;IMNM;GLUE;PRAX;SLNO;STNE;SKYH;SMMT;PHR,GCT;KOD;NAMS;PRCH;SLDB;STTK;VERA,GLUE;PHR;PRAX;SKYH;SLNO;SMMT;STNE,0.09475559024998559,0.09350639664428646,0.09333139664428647,0.000175
Arm_A_1.00,7,2024-02-12,2024-02-09,2024-02-27,2024-02-26,SW1,1,10,20,11,0.55,0,STTK;VERA;LRMR;VKTX;SLDB;IVVD;GCT;PRAX;KOD;IMNM;KYMR;OCUL;PRCH;SMMT;LQDA;FDMT;HNST;SLNO;WGS;KURA,IMNM;KYMR;OCUL;SMMT;LQDA;HNST;SLNO;WGS;KURA;SPIR;SPRY;UP;REAX;ULCC;KALV;HOV;ICHR;S;NAMS;VSTM,FDMT;GCT;IVVD;KOD;LRMR;PRAX;PRCH;SLDB;STTK;VERA;VKTX,HOV;ICHR;KALV;NAMS;REAX;S;SPIR;SPRY;ULCC;UP;VSTM,0.14595691533558913,0.07434043917042513,0.07406543917042513,0.00027499999999999996
Arm_A_1.00,7,2024-02-27,2024-02-26,2024-03-12,2024-03-11,SW1,1,10,20,12,0.6,0,WGS;OCUL;LRMR;MNPR;VERA;VKTX;STTK;GCT;IMNM;SLDB;MLYS;JAN;PRAX;IVVD;HYLN;SOUN;KYMR;SPIR;NAMS;LQDA,MLYS;PRAX;HYLN;SOUN;KYMR;SPIR;NAMS;LQDA;OCGN;RZLT;KURA;REAX;KOD;ROOT;SMMT;FDMT;RXRX;HOOD;VSTM;SPRY,GCT;IMNM;IVVD;JAN;LRMR;MNPR;OCUL;SLDB;STTK;VERA;VKTX;WGS,FDMT;HOOD;KOD;KURA;OCGN;REAX;ROOT;RXRX;RZLT;SMMT;SPRY;VSTM,0.02846276055008448,0.028866347704763966,0.028566347704763965,0.00030000000000000003
Arm_A_1.00,7,2024-03-12,2024-03-11,2024-03-26,2024-03-25,SW1,1,10,20,12,0.6,0,WGS;JAN;ROOT;PRAX;JANX;VERA;IMNM;STTK;SNDA;VKTX;OCUL;HYLN;REAX;SOUN;SANA;LRMR;RZLT;MSTR;OCGN;GCT,OCUL;REAX;SANA;LRMR;RZLT;MSTR;OCGN;GCT;NAMS;HIPO;SLDB;KURA;RLMD;KYMR;LQDA;MLYS;HNST;NUVB;ENGN;SMMT,HYLN;IMNM;JAN;JANX;PRAX;ROOT;SNDA;SOUN;STTK;VERA;VKTX;WGS,ENGN;HIPO;HNST;KURA;KYMR;LQDA;MLYS;NAMS;NUVB;RLMD;SLDB;SMMT,0.029291215757262755,0.0031580097186013566,0.0028580097186013567,0.00030000000000000003
Arm_A_1.00,7,2024-03-26,2024-03-25,2024-04-10,2024-04-09,SW1,1,10,20,9,0.45,0,ROOT;OCGN;JAN;SNDA;VKTX;MSTR;WGS;IMNM;VERA;JANX;SLDB;PRAX;SOUN;OCUL;ENGN;RZLT;GHRS;NAMS;REAX;KOD,IMNM;VERA;SLDB;PRAX;OCUL;ENGN;RZLT;GHRS;NAMS;REAX;KOD;HIMS;LUNR;SANA;SPRY;VRT;EME;MOD;HIPO;KNSL,JAN;JANX;MSTR;OCGN;ROOT;SNDA;SOUN;VKTX;WGS,EME;HIMS;HIPO;KNSL;LUNR;MOD;SANA;SPRY;VRT,-0.008665450402156195,-0.027198726873619006,-0.027423726873619006,0.00022500000000000002
Arm_A_1.00,7,2024-04-10,2024-04-09,2024-04-24,2024-04-23,SW1,1,10,20,6,0.3,0,ROOT;JAN;SNDA;HIPO;VKTX;REAX;OCGN;SLS;JANX;MSTR;RZLT;WGS;FIP;GHRS;SOUN;STOK;NUVB;TGB;RSI;PRM,REAX;OCGN;SLS;MSTR;RZLT;WGS;FIP;GHRS;SOUN;STOK;NUVB;TGB;RSI;PRM;PPTA;PCT;EME;MUX;TPC;VRT,HIPO;JAN;JANX;ROOT;SNDA;VKTX,EME;MUX;PCT;PPTA;TPC;VRT,-0.023144530419851147,-0.05368210201175696,-0.053832102011756956,0.00015000000000000001
Arm_A_1.00,7,2024-04-24,2024-04-23,2024-05-08,2024-05-07,SW1,1,10,20,9,0.45,0,JAN;ROOT;JANX;SNDA;WGS;SLS;IBTA;MSTR;RZLT;VKTX;HIPO;VERA;PPTA;FIP;OCGN;VITL;STOK;SMR;GHRS;PRM,RZLT;HIPO;VERA;PPTA;FIP;OCGN;VITL;STOK;SMR;GHRS;PRM;POWL;MUX;HYMC;FIHL;IDR;EME;TGB;HOOD;TPC,IBTA;JAN;JANX;MSTR;ROOT;SLS;SNDA;VKTX;WGS,EME;FIHL;HOOD;HYMC;IDR;MUX;POWL;TGB;TPC,0.04164005166244024,0.03526320376833185,0.035038203768331846,0.00022500000000000002
Arm_A_1.00,7,2024-05-08,2024-05-07,2024-05-22,2024-05-21,SW1,1,10,20,11,0.55,0,ROOT;JAN;JANX;WGS;RZLT;OCGN;VKTX;SNDA;IBTA;STOK;SOUN;EBS;VITL;SMTC;MSTR;TPC;IESC;TGB;HIPO;REAL,SNDA;VITL;SMTC;MSTR;TPC;IESC;TGB;HIPO;REAL;RCAT;TNDM;MUX;FIP;EME;SNDL;PPTA;NUVB;HOOD;KALU;ZETA,EBS;IBTA;JAN;JANX;OCGN;ROOT;RZLT;SOUN;STOK;VKTX;WGS,EME;FIP;HOOD;KALU;MUX;NUVB;PPTA;RCAT;SNDL;TNDM;ZETA,0.044999097378546044,0.07982712423326702,0.07955212423326702,0.00027499999999999996
Arm_A_1.00,7,2024-05-22,2024-05-21,2024-06-06,2024-06-05,SW1,1,10,20,8,0.4,0,ROOT;JAN;IBTA;VITL;SNDA;STOK;NVAX;SMR;TPC;REAL;PPTA;WGS;TGB;FIP;JANX;SMTC;MSTR;MRVI;MUX;TNDM,VITL;TPC;REAL;PPTA;WGS;TGB;FIP;SMTC;MSTR;MRVI;MUX;TNDM;PAAS;ZETA;IAG;KGC;HL;HIMS;RDW;RZLT,IBTA;JAN;JANX;NVAX;ROOT;SMR;SNDA;STOK,HIMS;HL;IAG;KGC;PAAS;RDW;RZLT;ZETA,-0.018476269913636018,0.01351282519259662,0.01331282519259662,0.0002
Arm_A_1.00,7,2024-06-06,2024-06-05,2024-06-21,2024-06-20,SW1,1,10,20,4,0.2,0,NVAX;RZLT;WGS;VITL;ZIM;EBS;IBTA;STOK;TPC;PPTA;TNDM;RDW;ZETA;SMTC;FLNC;OCGN;GERN;TMDX;YMM;SN,VITL;ZIM;EBS;STOK;TPC;PPTA;TNDM;RDW;ZETA;SMTC;FLNC;OCGN;GERN;TMDX;YMM;SN;KGC;FIP;GH;LILA,IBTA;NVAX;RZLT;WGS,FIP;GH;KGC;LILA,-0.10782265363431505,-0.06204829345474624,-0.06214829345474624,0.0001
