date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2025-10-29,ARM_0,175645.5075305139,23966.587530513872,0.0,21,0.059936915825593164,602.7654188000004,0.0001634920634920635,1,21,18,45,0,77,10,0,175.60836496760606
2025-10-30,ARM_0,174492.14811359893,23970.268113598915,0.0,21,0.05772466044399052,602.7654188000004,0.00015357142857142856,1,21,18,45,0,77,10,0,174.4552494437761
2025-10-31,ARM_0,176027.82974990524,23973.939749905207,0.0,21,0.05935266039945951,602.7654188000004,0.00015317460317460315,1,21,18,45,0,77,10,0,175.9906063399135
2025-11-03,ARM_0,170248.0314620811,23977.621462081086,0.0,21,0.059580659540602286,602.7654188000004,0.00015357142857142856,1,21,19,45,0,77,10,0,170.21203026679052
2025-11-04,ARM_0,163951.59394466275,23981.303739662762,7017.4252050000005,20,0.07259880623068184,604.5202138000003,0.00015357142857142856,1,21,19,46,1,78,10,0,163.91692421426345
2025-11-05,ARM_0,166216.8444637507,31003.48946375069,0.0,20,0.06488794823891716,604.5202138000003,0.00015357142857142856,1,21,19,46,1,78,10,0,166.18169571620436
2025-11-06,ARM_0,161300.52914391836,31008.25071391834,5604.87843,20,0.06309222948004013,605.9217838000003,0.00015357142857142856,1,21,20,46,2,79,10,0,161.2664200161927
2025-11-07,ARM_0,165598.93187446546,36618.751874465444,0.0,20,0.07086108507569067,605.9217838000003,0.00015357142857142856,0,21,20,46,1,79,10,0,165.56391379269897
2025-11-10,ARM_0,172750.32546850332,36624.375468503305,0.0,20,0.07600304059857672,605.9217838000003,0.00015357142857142856,0,21,20,46,1,79,10,0,172.7137951300889
2025-11-11,ARM_0,175421.46666456907,0.6419220690579159,89438.66474249998,17,0.06037812932126882,637.4406863000003,0.00015357142857142856,0,21,20,46,1,79,10,1,175.384371478062
2025-11-12,ARM_0,175881.38198666397,89453.04198666396,0.0,17,0.06277469437235356,637.4406863000003,0.00015357142857142856,0,21,20,46,1,79,10,0,175.8441895449864
2025-11-13,ARM_0,170230.56991535076,89466.81491535078,0.0,17,0.06076511407524348,637.4406863000003,0.00015396825396825397,1,21,20,46,1,79,10,0,170.19457241253494
2025-11-14,ARM_0,168713.2399646314,89480.58996463139,0.0,17,0.06241774505787234,637.4406863000003,0.00015396825396825397,1,21,20,46,0,79,10,0,168.67756332127811
2025-11-17,ARM_0,168489.14713483228,89494.36713483228,0.0,17,0.06281722104943775,637.4406863000003,0.00015396825396825397,1,21,20,46,0,79,10,0,168.4535178788682
2025-11-18,ARM_0,168210.02642628003,89508.14642628001,0.0,17,0.06767622740365652,637.4406863000003,0.00015396825396825397,1,21,20,46,0,79,10,0,168.17445619407707
2025-11-19,ARM_0,167871.55783930118,89521.92783930119,0.0,17,0.06638337156951703,637.4406863000003,0.00015396825396825397,1,21,20,46,0,79,10,0,167.83605918075224
2025-11-20,ARM_0,164706.99637422248,89535.71137422248,0.0,17,0.0699248984774911,637.4406863000003,0.00015396825396825397,1,21,20,46,0,79,10,0,164.6721669040003
2025-11-21,ARM_0,165732.11939887056,89549.49703137057,7808.5773675,16,0.06868807350856565,639.3933188000003,0.00015396825396825397,1,21,20,47,1,80,10,0,165.6970731528426
2025-11-24,ARM_0,168041.26445159546,97373.06445159546,0.0,16,0.06822014841064329,639.3933188000003,0.00015396825396825397,1,21,20,47,0,80,10,0,168.00572990634146
2025-11-25,ARM_0,168401.20264231038,2.278189810370135,32574.044452500006,16,0.06002914374353847,671.8754788000006,0.00015396825396825397,0,21,20,47,0,80,10,1,168.36559198337105
2025-11-26,ARM_0,170818.71836182833,32581.33836182832,0.0,16,0.05820714553623454,671.8754788000006,0.00015396825396825397,0,21,20,47,0,80,10,0,170.78259648725384
2025-11-28,ARM_0,173539.66778271034,32586.367782710367,0.0,16,0.0616702229337001,671.8754788000006,0.00015436507936507937,1,21,20,47,0,80,10,0,173.50297052743608
2025-12-01,ARM_0,168189.63797995937,32591.39797995937,0.0,16,0.06236210581088102,671.8754788000006,0.00015436507936507937,1,21,20,47,0,80,10,0,168.15407205916273
2025-12-02,ARM_0,162820.02395369517,32596.428953695166,0.0,16,0.0600071770212896,671.8754788000006,0.00015436507936507937,1,21,20,47,0,80,10,0,162.7855935087189
2025-12-03,ARM_0,165639.44570403764,32601.460704037625,0.0,16,0.06229385733659503,671.8754788000006,0.00015436507936507937,1,21,20,47,0,80,10,0,165.60441905508668
2025-12-04,ARM_0,169216.49323110664,32606.493231106626,0.0,16,0.06242370231354144,671.8754788000006,0.00015436507936507937,1,21,20,47,0,80,10,0,169.18071016820198
2025-12-05,ARM_0,173604.62653502208,32611.526535022065,0.0,16,0.06428140898508101,671.8754788000006,0.00015436507936507937,0,21,20,47,0,80,10,0,173.5679155433615
2025-12-08,ARM_0,175786.4406159039,32616.56061590386,0.0,16,0.06936883161906837,671.8754788000006,0.00015436507936507937,0,21,20,47,0,80,10,0,175.74926825083338
2025-12-09,ARM_0,174926.66547387195,32621.595473871956,0.0,16,0.06640411265219602,671.8754788000006,0.00015436507936507937,1,21,20,47,0,80,10,0,174.88967491961316
2025-12-10,ARM_0,177706.37251837348,1.9729108734950256,44190.519607500006,18,0.06035112780714231,691.0787388000007,0.00015436507936507937,1,21,20,47,0,80,10,1,177.66879415833918
2025-12-11,ARM_0,180585.82587840396,44198.87587840394,0.0,18,0.06068294644220198,691.0787388000007,0.00014444444444444446,1,21,20,47,0,80,10,0,180.54763861991808
2025-12-12,ARM_0,173298.76516047528,44205.26016047526,0.0,18,0.06359422116940476,691.0787388000007,0.00014444444444444446,1,21,20,47,0,80,10,0,173.2621188472429
2025-12-15,ARM_0,172572.50919472068,44211.645364720665,7622.77383,18,0.0656674695922349,692.9849088000007,0.00014444444444444446,1,21,20,48,1,81,10,0,172.53601645790638
2025-12-16,ARM_0,172830.64638860436,51841.90638860435,0.0,18,0.0660757813421739,692.9849088000007,0.00014444444444444446,1,21,20,48,1,81,10,0,172.7940990652703
2025-12-17,ARM_0,168769.8446639716,51849.394663971594,0.0,18,0.06458653808506437,692.9849088000007,0.00014444444444444446,1,21,20,48,1,81,10,0,168.7341560508069
2025-12-18,ARM_0,171302.45203097863,51856.884020978614,9685.53801,17,0.06444542894227555,695.4068988000007,0.00014444444444444446,1,21,20,49,2,82,10,0,171.2662278645295
2025-12-19,ARM_0,176068.34149193863,61551.31149193865,0.0,17,0.0635532765583092,695.4068988000007,0.00014444444444444446,0,21,20,49,0,82,10,0,176.03110951520387
2025-12-22,ARM_0,179436.23223693194,61560.20223693193,0.0,17,0.06406955750620016,695.4068988000007,0.00014444444444444446,0,21,20,49,0,82,10,0,179.39828807520811
2025-12-23,ARM_0,178593.84426614395,61569.09426614393,0.0,17,0.06329966212694979,695.4068988000007,0.00014444444444444446,0,21,20,49,0,82,10,0,178.55607823848476
2025-12-24,ARM_0,180458.62790885457,0.936208854563194,20628.041699999998,18,0.06143103340893824,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,1,180.42046754805966
2025-12-26,ARM_0,178883.44765010808,20631.957650108063,0.0,18,0.061165860473583,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,178.8456203819876
2025-12-29,ARM_0,178879.19782176864,20634.937821768635,0.0,18,0.06810853440956882,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,178.8413714523305
2025-12-30,ARM_0,176870.65342389845,20637.91842389845,0.0,18,0.06717225141655234,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,176.83325178770684
2025-12-31,ARM_0,176382.59945655966,20640.89945655968,0.0,18,0.06684106049193134,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,176.3453010258268
2026-01-02,ARM_0,176165.3409198145,20643.880919814517,0.0,18,0.06502981767119814,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,176.12808843126933
2026-01-05,ARM_0,173838.82281372516,20646.862813725158,0.0,18,0.06520091321686693,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,173.80206229816764
2026-01-06,ARM_0,179284.2951383538,20649.84513835381,0.0,18,0.07410543120772085,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,179.24638310573658
2026-01-07,ARM_0,189560.0328937627,20652.827893762682,0.0,18,0.07087612190661356,715.9533913000008,0.00014444444444444446,1,21,20,49,0,82,10,0,189.5199479206509
2026-01-08,ARM_0,186952.67108001403,20655.811080014006,0.0,18,0.06918012952307388,715.9533913000008,0.00014444444444444446,0,21,20,49,0,82,10,0,186.91313746800193
2026-01-09,ARM_0,190757.4336558245,2.6194508244779726,35134.394205000004,19,0.061332917809689594,729.9011938000007,0.00014444444444444446,0,21,20,49,0,82,10,1,190.7170954765035
2026-01-12,ARM_0,187798.94900224142,35142.08900224144,0.0,19,0.06425685587759052,729.9011938000007,0.00014444444444444446,1,21,20,49,0,82,10,0,187.75923643358303
