arm,threshold,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_veto,veto_rate,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_A_0.80,0.8,5,2019-02-21,2019-02-20,2019-03-07,2019-03-06,TRAIN,10,20,0,0.0,LSCC;NVCR;PAR;VHI;KGC;PNRG;LRN;GFF;LGIH;LION;PDFS;VIAV;PCTY;MLI;VECO;LNTH;KFRC;OFLX;GLOB;TNET,LSCC;NVCR;PAR;VHI;KGC;PNRG;LRN;GFF;LGIH;LION;PDFS;VIAV;PCTY;MLI;VECO;LNTH;KFRC;OFLX;GLOB;TNET,,,-0.02428242240995518,-0.02428242240995518,-0.02428242240995518,0.0
Arm_A_0.80,0.8,5,2019-03-07,2019-03-06,2019-03-21,2019-03-20,TRAIN,10,20,0,0.0,LSCC;PNRG;VHI;OFLX;ROKU;TNDM;GFF;SNAP;KOP;LRN;SSP;ZS;IIPR;TPB;LION;VCYT;SMMT;MLI;YEXT;SSNC,LSCC;PNRG;VHI;OFLX;ROKU;TNDM;GFF;SNAP;KOP;LRN;SSP;ZS;IIPR;TPB;LION;VCYT;SMMT;MLI;YEXT;SSNC,,,0.014808001488701806,0.014808001488701806,0.014808001488701806,0.0
Arm_A_0.80,0.8,5,2019-03-21,2019-03-20,2019-04-04,2019-04-03,TRAIN,10,20,3,0.15,PNRG;GH;YETI;TNDM;VCYT;STNE;PLUG;ROKU;SNAP;MGTX;GFF;EGY;TPB;LSCC;W;RIOT;IIPR;RPD;ZS;VCTR,YETI;TNDM;VCYT;STNE;PLUG;ROKU;SNAP;MGTX;GFF;EGY;TPB;LSCC;W;IIPR;RPD;ZS;VCTR;LEU;OFLX;TGTX,GH;PNRG;RIOT,LEU;OFLX;TGTX,-0.032300642389828105,-0.005614831796598245,-0.005689831796598245,7.500000000000001e-05
Arm_A_0.80,0.8,5,2019-04-04,2019-04-03,2019-04-18,2019-04-17,TRAIN,10,20,2,0.1,RIOT;ROKU;YETI;VCYT;STNE;RARE;SNAP;GFF;RPD;TGTX;GH;LSCC;TNDM;PLUG;ROG;W;ZS;THC;LNTH;MGTX,YETI;VCYT;STNE;RARE;SNAP;GFF;RPD;TGTX;GH;LSCC;TNDM;PLUG;ROG;W;ZS;THC;LNTH;MGTX;IIPR;NYT,RIOT;ROKU,IIPR;NYT,-0.04568330449091977,-0.03367932415624003,-0.03372932415624003,5e-05
Arm_A_0.80,0.8,5,2019-04-18,2019-04-17,2019-05-03,2019-05-02,TRAIN,10,20,1,0.05,RIOT;SNAP;YETI;PLUG;TGTX;LSCC;LMB;SBGI;FND;MGTX;MXL;GFF;FLGT;MRVL;NXST;VSAT;PPC;PATK;VRRM;ROG,SNAP;YETI;PLUG;TGTX;LSCC;LMB;SBGI;FND;MGTX;MXL;GFF;FLGT;MRVL;NXST;VSAT;PPC;PATK;VRRM;ROG;RMBS,RIOT,RMBS,-0.017182211585742697,-0.013766471999163293,-0.013791471999163293,2.5e-05
Arm_A_0.80,0.8,5,2019-05-03,2019-05-02,2019-05-17,2019-05-16,TRAIN,10,20,1,0.05,RIOT;TGTX;YETI;PI;LSCC;PLUG;SNAP;VCTR;VSAT;FND;STRA;NSSC;FLGT;SAFE;LNTH;SBGI;STNG;ROG;KRNT;PPC,TGTX;YETI;PI;LSCC;PLUG;SNAP;VCTR;VSAT;FND;STRA;NSSC;FLGT;SAFE;LNTH;SBGI;STNG;ROG;KRNT;PPC;OFLX,RIOT,OFLX,-0.002389762675925022,-0.0009718046959806285,-0.0009968046959806286,2.5e-05
Arm_A_0.80,0.8,5,2019-05-17,2019-05-16,2019-06-03,2019-05-31,TRAIN,10,20,0,0.0,MGTX;SBGI;SAFE;PPC;LMB;STRA;KNSL;PLNT;ZS;GOGO;LTBR;VCTR;PI;NC;VRRM;KRYS;FLY;VRNS;LNTH;LAD,MGTX;SBGI;SAFE;PPC;LMB;STRA;KNSL;PLNT;ZS;GOGO;LTBR;VCTR;PI;NC;VRRM;KRYS;FLY;VRNS;LNTH;LAD,,,-0.07599323872056066,-0.07599323872056066,-0.07599323872056066,0.0
Arm_A_0.80,0.8,5,2019-06-03,2019-05-31,2019-06-17,2019-06-14,TRAIN,10,20,0,0.0,SAFE;RDVT;FLY;LMB;LAD;HEI;NC;KTOS;STNG;PPC;VRRM;KRYS;VEEV;RLI;KNSL;KOD;PLNT;RNR;NTRA;SBGI,SAFE;RDVT;FLY;LMB;LAD;HEI;NC;KTOS;STNG;PPC;VRRM;KRYS;VEEV;RLI;KNSL;KOD;PLNT;RNR;NTRA;SBGI,,,0.01580605727421921,0.01580605727421921,0.01580605727421921,0.0
Arm_A_0.80,0.8,5,2019-06-17,2019-06-14,2019-07-01,2019-06-28,TRAIN,10,20,0,0.0,KOD;RDVT;SAH;SAFE;ROKU;HEI;GLOB;KTOS;STRA;LAD;NSSC;RLI;LPG;SNDX;KNSL;VEEV;RNR;ZYME;PPC;HLNE,KOD;RDVT;SAH;SAFE;ROKU;HEI;GLOB;KTOS;STRA;LAD;NSSC;RLI;LPG;SNDX;KNSL;VEEV;RNR;ZYME;PPC;HLNE,,,0.018399351852710848,0.018399351852710848,0.018399351852710848,0.0
Arm_A_0.80,0.8,5,2019-07-01,2019-06-28,2019-07-16,2019-07-15,TRAIN,10,20,0,0.0,HROW;SNDX;KOD;RDVT;KTOS;PI;SAH;IIPR;GLOB;HEI;STNG;MGTX;POWL;STRA;RGEN;SAFE;SKY;KNSL;HLNE;SBLK,HROW;SNDX;KOD;RDVT;KTOS;PI;SAH;IIPR;GLOB;HEI;STNG;MGTX;POWL;STRA;RGEN;SAFE;SKY;KNSL;HLNE;SBLK,,,0.03575528278986766,0.03575528278986766,0.03575528278986766,0.0
