arm,threshold,phase,split,n_cycles,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,baseline_cvar5,baseline_sharpe
Arm_A_1.00,1.0,5,TRAIN,106,-0.17031309721575263,-0.7953737397175719,0.11650943396226417,-0.19031856877757938,-0.6553651434625942
Arm_A_1.00,1.0,6,TRAIN,106,-0.18851186560504093,-1.3369793064823765,0.11745283018867926,-0.2035919191619122,-1.2402555285285506
Arm_A_1.00,1.0,7,TRAIN,106,-0.17354419702602017,-1.5118884851822718,0.12028301886792453,-0.1840867124208695,-0.7318365907439929
Arm_A_1.00,1.0,8,TRAIN,106,-0.15004672598762625,-1.5920370298421571,0.12452830188679247,-0.16769754983533683,-1.3901768284734841
Arm_A_1.00,1.0,9,TRAIN,105,-0.13489875132339166,-0.7825770057069786,0.12666666666666668,-0.16714040468435634,-0.4147026615045923
Arm_A_1.10,1.1,0,TRAIN,106,-0.1394298747263473,-1.8280095642951277,0.09952830188679246,-0.15135741582972542,-1.6491470173703702
Arm_A_1.10,1.1,1,TRAIN,106,-0.14176942320233715,-1.076465377007066,0.09952830188679246,-0.15477363167471384,-0.6217374131406778
Arm_A_1.10,1.1,2,TRAIN,106,-0.17562562618009636,-1.630888190945522,0.09622641509433963,-0.18647976315102774,-1.6244654405333132
Arm_A_1.10,1.1,3,TRAIN,106,-0.14380028112341747,-1.7345790697245138,0.094811320754717,-0.18345416234587975,-1.9977388704424257
Arm_A_1.10,1.1,4,TRAIN,106,-0.1714300213543587,-1.409320315410938,0.09528301886792453,-0.2043210046802896,-1.8401902500066414
Arm_A_1.10,1.1,5,TRAIN,106,-0.17226410879027595,-0.901285683424156,0.09292452830188679,-0.19031856877757938,-0.6553651434625942
Arm_A_1.10,1.1,6,TRAIN,106,-0.19450464329111272,-1.366156087027785,0.094811320754717,-0.2035919191619122,-1.2402555285285506
Arm_A_1.10,1.1,7,TRAIN,106,-0.1777126908681015,-1.3430714245561242,0.094811320754717,-0.1840867124208695,-0.7318365907439929
Arm_A_1.10,1.1,8,TRAIN,106,-0.15651369641038873,-1.235586924482017,0.10235849056603773,-0.16769754983533683,-1.3901768284734841
Arm_A_1.10,1.1,9,TRAIN,105,-0.13610429393763812,-0.5935189814014745,0.09904761904761905,-0.16714040468435634,-0.4147026615045923
Arm_A_1.20,1.2,0,TRAIN,106,-0.14388636556422865,-1.8543823161256545,0.0759433962264151,-0.15135741582972542,-1.6491470173703702
Arm_A_1.20,1.2,1,TRAIN,106,-0.14526509785226063,-1.1020207927288368,0.07500000000000001,-0.15477363167471384,-0.6217374131406778
