sample_group,signal,lookback_L,n,in_top_n_next_rate,became_instavel_1_rate,log_ret_1_mean,log_ret_1_std,became_instavel_3_rate,log_ret_3_mean,log_ret_3_std,became_instavel_5_rate,log_ret_5_mean,log_ret_5_std
CANDIDATE_IGNITION,SUBINDO,5,9359,0.22687271946769694,0.09958328881290736,-5.178006699245209e-05,0.04756557393499763,0.15089295262538766,-0.0008309171495991595,0.07570440023075457,0.19582441113490365,-0.0014044164820164737,0.09781907916713932
CANDIDATE_IGNITION,CAINDO,10,87,0.12643678160919541,0.19540229885057472,-0.004742584933233174,0.04324846911385266,0.25287356321839083,-0.015059935117770469,0.06913026197855823,0.3103448275862069,-0.025331684718274863,0.09789385663548993
CANDIDATE_IGNITION,ESTAVEL,10,64,0.09375,0.078125,-0.007933612581436943,0.031223284729234226,0.109375,-0.015539333894624164,0.06235218331593396,0.15625,-0.023980959020194863,0.07499484594365692
CANDIDATE_IGNITION,SUBINDO,10,11701,0.22825993647523393,0.0899923083497137,0.00021510935127576225,0.0464804039789206,0.13985116756479343,-0.00039769756183638533,0.07632481259501034,0.18366298484459287,-0.0010658847749898323,0.09713908518433886
TOPN_ALL,CAINDO,1,10696,0.501927235122685,0.07638369483919222,0.0004320243943576185,0.05888613313305093,0.12852195076289433,0.0006288176478299383,0.10285753314380172,0.16850984067478914,-5.0094729521592615e-05,0.12680379494470212
TOPN_ALL,ESTAVEL,1,11055,0.6721520138194381,0.054274084124830396,-0.0012382724427194287,0.06143881602223351,0.10331401666063021,-0.003081489693512608,0.10948140988859967,0.14738941261783903,-0.003856566390793867,0.14452123625843163
TOPN_ALL,SUBINDO,1,16152,0.5078732806373312,0.11001733531451213,-0.0011047185029090432,0.06368882072423714,0.1626177491323748,-0.0017820474470878768,0.10391871462145211,0.20786551702747968,-0.0022632080647222276,0.13078614248678455
TOPN_ALL,CAINDO,2,10877,0.5075358298659269,0.06472372896938494,-0.00012068990111261321,0.058143577003202516,0.1131155085135757,-0.0004294140268579144,0.10206566293073842,0.15519306976315547,-0.0016123653153167607,0.1282858275242948
TOPN_ALL,ESTAVEL,2,8464,0.6782236998337687,0.04938563327032136,-0.0013919629761604505,0.06307913811321683,0.09863985807214666,-0.0012502045817592736,0.11092053517257602,0.13962844633771151,-0.0018895617916112625,0.14484415011887072
TOPN_ALL,SUBINDO,2,18548,0.5246585735963581,0.11154841492344188,-0.0007431198222393163,0.0630591687956804,0.16579416050515408,-0.0021722860576106687,0.10450147846589052,0.2111093099908143,-0.0024320429217906457,0.13181095264666728
TOPN_ALL,CAINDO,3,10761,0.504206393718452,0.05696496608121922,-0.00028367729546471,0.05773776453018915,0.10604651162790697,-0.001748919916109014,0.10327620993290536,0.14836546521374686,-0.002779212611900865,0.12831810950536238
TOPN_ALL,ESTAVEL,3,7030,0.6890636168691923,0.04580369843527738,-0.00033414058559228096,0.06235344630853259,0.09386127332288847,-0.00011815239501660622,0.10976327664799752,0.13501568291987454,-0.0013280748871569018,0.14081182250313629
TOPN_ALL,SUBINDO,3,20080,0.5333867253979377,0.11215139442231076,-0.0010343469290834556,0.0633667343667258,0.16600199401794616,-0.00172847750565573,0.10472099033454353,0.21082834331337325,-0.001900345658245259,0.1342521595886779
TOPN_ALL,CAINDO,5,10214,0.5014746362563901,0.05463089876639906,-0.000702464025562445,0.058387907178192866,0.10357667809897109,-0.0026154952653701475,0.10109055156194906,0.14476265202040015,-0.0042119874011852815,0.13050905228342274
TOPN_ALL,ESTAVEL,5,5541,0.6918604651162791,0.04223064428803465,-0.0006295129485120882,0.06111081400068902,0.0874435411020777,-0.002005296659505886,0.10901101032429522,0.12613101701049584,-0.0014330425459869573,0.14197733597899953
TOPN_ALL,SUBINDO,5,22075,0.544001093194862,0.10822197055492638,-0.0006516266876195791,0.06307229112903433,0.1622222222222222,-0.00066043913214271,0.10612318683652965,0.20791719629562375,-0.0011032596095670658,0.13324611714608356
TOPN_ALL,CAINDO,10,8843,0.49049948799635906,0.04839986429944589,-0.00014785737307983945,0.05986630689026838,0.09427342688999547,-0.0018338858841670915,0.10343065160617111,0.1338395285584769,-0.002655835940055653,0.13058998903667826
TOPN_ALL,ESTAVEL,10,3594,0.6772841575859179,0.042292710072342796,-0.0008879455258702751,0.0601622710335382,0.08883319409635199,-0.0008815121985951215,0.11202209870738074,0.1275766016713092,-0.002084696648418261,0.1486366227462883
TOPN_ALL,SUBINDO,10,25322,0.5587709896391568,0.10251954821894005,-0.0007813030590027712,0.06230689224788079,0.15657124782539933,-0.0012729295197950275,0.10489318893572537,0.20217692459924796,-0.0017354011886899614,0.13280264845292405
