phase,date,ticker,ret_62,late_rocket,forward_logret,split
0,2026-04-22,TH,0.730307125473686,0,-0.015848192240023616,SW2
0,2026-04-22,TNGX,0.7974279768398882,0,-0.13760366815606748,SW2
0,2026-04-22,TOYO,0.6544881074101949,0,-0.2041642197529699,SW2
0,2026-04-22,VIAV,0.8393464269996479,1,0.19834700200764782,SW2
0,2026-04-22,VRT,0.5433220999551636,0,0.08752867584790885,SW2
0,2026-05-06,ECG,0.6751307968683177,0,-0.1404810697065399,SW2
0,2026-05-06,FBYD,0.7904349984926607,0,0.008700641230831295,SW2
0,2026-05-06,ICHR,0.8835580298760045,1,-0.04821485381789238,SW2
0,2026-05-06,KODK,0.6379607649926546,0,-0.4012188172267133,SW2
0,2026-05-06,KOPN,0.6826758806926498,0,-0.08338160893905101,SW2
0,2026-05-06,KOS,0.7125652664170471,0,0.01904819497069441,SW2
0,2026-05-06,LITE,0.7591024061652599,0,-0.11097784709012809,SW2
0,2026-05-06,MRVL,0.8280085577510806,1,0.043598580679222836,SW2
0,2026-05-06,MTZ,0.6196434587540884,0,-0.1278562283915215,SW2
0,2026-05-06,MXL,1.5561571233165716,1,0.14959294659302538,SW2
0,2026-05-06,MYRG,0.6332937111521403,0,-0.061302488430774585,SW2
0,2026-05-06,NBIS,0.7585652759190072,0,0.1168731174862324,SW2
0,2026-05-06,NVTS,0.7609197956416672,0,0.10176431347747382,SW2
0,2026-05-06,PENG,0.7033499438201898,0,0.23855234446424112,SW2
0,2026-05-06,SNDK,0.8778893220388082,1,-0.01651164372685357,SW2
0,2026-05-06,STM,0.667593303904806,0,0.06843307859569725,SW2
0,2026-05-06,STRL,0.8055353653482062,1,-0.10138442198254419,SW2
0,2026-05-06,STRO,0.9188395292832251,1,-0.16415951542859458,SW2
0,2026-05-06,TH,0.7763898909641527,0,0.16187974762877766,SW2
0,2026-05-06,VIAV,0.7897552190798701,0,-0.090910017405287,SW2
0,2026-05-20,FBYD,1.0884941585025254,1,0.058872783601893866,SW2
0,2026-05-20,FCEL,0.8064758658669489,1,0.22819987098133362,SW2
0,2026-05-20,FLEX,0.6625027024093085,0,0.24864504659988948,SW2
0,2026-05-20,HYLN,0.6858389872532206,0,0.45708434773980017,SW2
0,2026-05-20,MOVE,1.0330617613721302,1,-0.03950904300462639,SW2
0,2026-05-20,MRVL,0.794877197331376,0,0.5372504944549085,SW2
0,2026-05-20,MXL,1.6487851358032501,1,-0.03726605716532534,SW2
0,2026-05-20,NVTS,0.8774263908563443,1,0.46199428530577996,SW2
0,2026-05-20,PENG,0.9001051596059697,1,0.43394411264211025,SW2
0,2026-05-20,POET,0.8529244736969386,1,0.16274843644136738,SW2
0,2026-05-20,SATL,1.086266452845811,1,-0.20875481386211023,SW2
0,2026-05-20,SNDK,0.8007439997960526,1,0.28067058345408713,SW2
0,2026-05-20,SPIR,0.7116124902319897,0,-0.004715754088942287,SW2
0,2026-05-20,STAA,0.600629518627294,0,-0.14286491111628058,SW2
0,2026-05-20,STM,0.6120873895674198,0,0.2637577829499687,SW2
0,2026-05-20,TH,0.9678701083692212,1,-0.07561412255140684,SW2
0,2026-05-20,VECO,0.6346385058536246,0,0.10039254056412296,SW2
0,2026-05-20,VIAV,0.6268093457170464,0,0.06176987866999601,SW2
0,2026-05-20,VPG,0.7362262720501829,0,0.2825386995040952,SW2
0,2026-05-20,VSH,0.6308722886133498,0,0.5464158136840676,SW2
1,2021-10-20,ENTA,0.5312876831143933,0,0.21109069642906395,TRAIN
1,2021-10-20,FLNG,0.39467010632126465,0,0.012745270566933642,TRAIN
1,2021-10-20,GDYN,0.4560390888953632,0,-0.058653096498212424,TRAIN
1,2021-10-20,HRI,0.43457249526588093,0,0.03665275144687575,TRAIN
1,2021-10-20,HUT,1.058557894766251,1,0.25482969554555196,TRAIN
1,2021-10-20,KE,0.36485299920102093,0,0.0313332570115536,TRAIN
1,2021-10-20,KOS,0.6105314150433538,0,-0.0953101798043249,TRAIN
1,2021-10-20,LAC,0.6543073472436814,0,0.1009716144232701,TRAIN
