arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,is_holdout,holding_days,top_n,n_veto,veto_rate,n_bandexp_blocked_pool,tickers_baseline,tickers_arm,tickers_vetados,tickers_substitutos,m3_rank_substitutos,m3_rank_max_substituto,vetados_com_r001_ativo,vetados_com_ret62_puro,overlap_com_par_tier,n_overlap_com_par_tier,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm
Arm_BandExpRet62,6,2023-05-17,2023-05-16,2023-06-01,2023-05-31,SW1,1,10,20,0,0.0,74,PLSE;HRTG;SLNO;VKTX;IMRX;LNTH;PPTA;LMB;HY;LFST;PLPC;RELY;MLTX;FOR;NABL;TPH;KGC;FCNCA;RDNT;STNE,PLSE;HRTG;SLNO;VKTX;IMRX;LNTH;PPTA;LMB;HY;LFST;PLPC;RELY;MLTX;FOR;NABL;TPH;KGC;FCNCA;RDNT;STNE,,,,,,,,0,-0.03338355806683278,-0.03338355806683278,-0.03338355806683278,0.0
Arm_BandExpRet62,6,2023-06-01,2023-05-31,2023-06-15,2023-06-14,SW1,1,10,20,0,0.0,93,SLNO;KOPN;PLSE;LFST;RIOT;FCNCA;LMB;FOR;VKTX;STNE;SKYW;NU;TGTX;ECX;RMBS;PLPC;WEAV;HRTG;KRYS;VERX,SLNO;KOPN;PLSE;LFST;RIOT;FCNCA;LMB;FOR;VKTX;STNE;SKYW;NU;TGTX;ECX;RMBS;PLPC;WEAV;HRTG;KRYS;VERX,,,,,,,,0,0.03963644440511331,0.03963644440511331,0.03963644440511331,0.0
Arm_BandExpRet62,6,2023-06-15,2023-06-14,2023-06-30,2023-06-29,SW1,1,10,20,0,0.0,89,SLNO;FCNCA;SKYW;JOBY;UPST;KOPN;WEAV;RGTI;PHAT;SOFI;SANA;VERA;TGTX;VRT;PLSE;NU;KRYS;VKTX;KRNT;FLNC,SLNO;FCNCA;SKYW;JOBY;UPST;KOPN;WEAV;RGTI;PHAT;SOFI;SANA;VERA;TGTX;VRT;PLSE;NU;KRYS;VKTX;KRNT;FLNC,,,,,,,,0,-0.010830296325987159,-0.010830296325987159,-0.010830296325987159,0.0
Arm_BandExpRet62,6,2023-06-30,2023-06-29,2023-07-17,2023-07-14,SW1,1,10,20,0,0.0,78,WEAV;PLSE;JOBY;VERA;UPST;SKYW;PHVS;ROOT;PHAT;KOPN;W;MLTX;SOUN;VRT;EOSE;NU;SLNO;HUT;SANA;NUVL,WEAV;PLSE;JOBY;VERA;UPST;SKYW;PHVS;ROOT;PHAT;KOPN;W;MLTX;SOUN;VRT;EOSE;NU;SLNO;HUT;SANA;NUVL,,,,,,,,0,0.014855365237784754,0.014855365237784754,0.014855365237784754,0.0
Arm_BandExpRet62,6,2023-07-17,2023-07-14,2023-07-31,2023-07-28,SW1,1,10,20,0,0.0,72,RGTI;VERA;UPST;WEAV;HLLY;MLTX;VRT;JOBY;W;TMC;KOPN;ROOT;RIVN;KRNT;SKYW;HUT;NU;PLAB;REAL;STRL,RGTI;VERA;UPST;WEAV;HLLY;MLTX;VRT;JOBY;W;TMC;KOPN;ROOT;RIVN;KRNT;SKYW;HUT;NU;PLAB;REAL;STRL,,,,,,,,0,0.019974879309952724,0.019974879309952724,0.019974879309952724,0.0
Arm_BandExpRet62,6,2023-07-31,2023-07-28,2023-08-14,2023-08-11,SW1,1,10,20,3,0.15,78,UPST;RGTI;WEAV;PGY;VERA;MLTX;HLLY;RIVN;RXRX;REAL;W;GENI;PLAB;VICR;MVST;VRT;LMND;HUT;RKLB;GH,WEAV;VERA;MLTX;HLLY;RIVN;RXRX;REAL;W;GENI;PLAB;VICR;MVST;VRT;LMND;HUT;RKLB;GH;NVTS;KRNT;ZS,PGY;RGTI;UPST,KRNT;NVTS;ZS,34;33;36,36.0,,PGY;RGTI;UPST,,0,-0.11237548229360653,-0.11344275746542203,-0.11351775746542203,7.500000000000001e-05
Arm_BandExpRet62,6,2023-08-14,2023-08-11,2023-08-28,2023-08-25,SW1,1,10,20,1,0.05,78,RGTI;PGY;HLLY;MOD;VRT;VERA;W;PHVS;REAL;STRL;ILPT;PARR;WAL;GCT;SPHR;FG;LOB;VNO;ZION;SKYW,PGY;HLLY;MOD;VRT;VERA;W;PHVS;REAL;STRL;ILPT;PARR;WAL;GCT;SPHR;FG;LOB;VNO;ZION;SKYW;FOR,RGTI,FOR,36,36.0,,RGTI,,0,-0.07751272026845978,-0.06848390985513217,-0.06850890985513217,2.5e-05
Arm_BandExpRet62,6,2023-08-28,2023-08-25,2023-09-12,2023-09-11,SW1,1,10,20,0,0.0,64,VERA;HHH;ILPT;PHVS;VRT;ODC;PARR;GCT;STRL;W;VNO;ROOT;UPWK;MOD;VTEX;IESC;MLTX;KRT;TNGX;PRA,VERA;HHH;ILPT;PHVS;VRT;ODC;PARR;GCT;STRL;W;VNO;ROOT;UPWK;MOD;VTEX;IESC;MLTX;KRT;TNGX;PRA,,,,,,,,0,0.025829838620722474,0.025829838620722474,0.025829838620722474,0.0
Arm_BandExpRet62,6,2023-09-12,2023-09-11,2023-09-26,2023-09-25,SW1,1,10,20,0,0.0,82,TOI;GCT;HHH;VERA;VRT;HLX;ILPT;TLRY;PARR;WFRD;VNO;PDS;RSI;TNGX;PHVS;RIVN;MLTX;SM;MMYT;SAIA,TOI;GCT;HHH;VERA;VRT;HLX;ILPT;TLRY;PARR;WFRD;VNO;PDS;RSI;TNGX;PHVS;RIVN;MLTX;SM;MMYT;SAIA,,,,,,,,0,-0.08479872743110625,-0.08479872743110625,-0.08479872743110625,0.0
Arm_BandExpRet62,6,2023-09-26,2023-09-25,2023-10-10,2023-10-09,SW1,1,10,20,0,0.0,88,TNGX;TOI;HHH;LEU;MTRX;HLX;URG;HNRG;OBE;TIGR;PDS;UROY;MMYT;UUUU;RSI;PRDO;WFRD;HPK;VRT;LBRT,TNGX;TOI;HHH;LEU;MTRX;HLX;URG;HNRG;OBE;TIGR;PDS;UROY;MMYT;UUUU;RSI;PRDO;WFRD;HPK;VRT;LBRT,,,,,,,,0,-0.03517812394831725,-0.03517812394831725,-0.03517812394831725,0.0
