date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100,track,top_n,max_weight_cap,split,is_holdout,cash_ratio,log_ret_equity
2025-12-09,C4,252669.5603805318,60361.0303805318,0.0,12,0.08297659586863082,983.0655282749996,0.00015436507936507937,1,12,13,24,0,49,10,0,252.61613006413327,COVARIADO,15,0.08,SW2,1,0.23889316263354146,-0.0005963870726862147
2025-12-10,C4,254878.90801577704,60370.34801577706,0.0,12,0.0834192996412394,983.0655282749996,0.00015436507936507937,1,12,13,24,0,49,10,0,254.8250105036348,COVARIADO,15,0.08,SW2,1,0.23685894013654565,0.008706012243267653
2025-12-11,C4,256158.27817715713,60379.06817715712,0.0,12,0.07983919218045303,983.0655282749996,0.00014444444444444446,1,12,13,24,0,49,10,0,256.1041101252933,COVARIADO,15,0.08,SW2,1,0.23571000167091774,0.0050069657110316836
2025-12-12,C4,248989.07959811605,60387.78959811605,0.0,12,0.08083302300842066,983.0655282749996,0.00014444444444444446,1,12,13,24,0,49,10,0,248.93642756799946,COVARIADO,15,0.08,SW2,1,0.24253188009524643,-0.02838648908909631
2025-12-15,C4,250048.44510883576,60396.51227883578,16384.58283,11,0.08118146861966909,987.1626982749996,0.00014444444444444446,1,12,13,25,1,50,10,0,249.99556906188735,COVARIADO,15,0.08,SW2,1,0.24153924353557835,0.004245641057304933
2025-12-16,C4,252217.71370947268,0.6448869726673316,67147.9188225,12,0.08005036483383882,1023.1441907749995,0.00014444444444444446,1,12,13,25,1,50,10,1,252.1643789420218,COVARIADO,15,0.08,SW2,1,2.5568663008743754e-06,0.008637978294199197
2025-12-17,C4,241351.49294645293,67158.26294645293,0.0,12,0.07509172526237881,1023.1441907749995,0.00014444444444444446,1,12,13,25,1,50,10,0,241.30045598492913,COVARIADO,15,0.08,SW2,1,0.27825915691084163,-0.04403830991640441
2025-12-18,C4,243877.95051943406,67167.9635844341,31404.406935,10,0.07811206367539966,1030.9972557749995,0.00014444444444444446,1,12,13,27,3,52,10,0,243.82637930508105,COVARIADO,15,0.08,SW2,1,0.2754163032835625,0.010413549458468016
2025-12-19,C4,248331.76875073137,98586.60875073136,0.0,10,0.08055095045080127,1030.9972557749995,0.00014444444444444446,1,12,13,27,1,52,10,0,248.27925571767676,COVARIADO,15,0.08,SW2,1,0.39699555657612984,0.018097731998128343
2025-12-22,C4,249311.979038662,98600.84903866203,0.0,10,0.08108419049076307,1030.9972557749995,0.00014444444444444446,0,12,13,27,0,52,10,0,249.25925872719307,COVARIADO,15,0.08,SW2,1,0.39549182281117556,0.00393941071273558
2025-12-23,C4,247490.74138352316,98615.09138352318,0.0,10,0.07996848645473259,1030.9972557749995,0.00014444444444444446,0,12,13,27,0,52,10,0,247.43840619681566,COVARIADO,15,0.08,SW2,1,0.398459719471706,-0.007331867314106812
2025-12-24,C4,248813.9557856119,98629.33578561191,0.0,10,0.08107615964026456,1030.9972557749995,0.00014444444444444446,1,12,13,27,0,52,10,0,248.76134078773893,COVARIADO,15,0.08,SW2,1,0.39639792500463644,0.005332278920199161
2025-12-26,C4,248064.20224522537,98643.58224522539,0.0,10,0.08029614841527738,1030.9972557749995,0.00014444444444444446,1,12,13,27,0,52,10,0,248.01174579264304,COVARIADO,15,0.08,SW2,1,0.39765343549131155,-0.0030178589954035235
2025-12-29,C4,247281.9907626608,98657.83076266081,0.0,10,0.07763662829140766,1030.9972557749995,0.00014444444444444446,1,12,13,27,0,52,10,0,247.22969971902975,COVARIADO,15,0.08,SW2,1,0.39896892797725725,-0.003158244249323014
