arm,phase,date,d_prev,d_next_reb,d_prev_next_reb,split,holding_days,top_n,n_bloqueados,gate_activation_rate,tickers_baseline,tickers_arm,tickers_bloqueados,tickers_substitutos,log_ret_baseline,log_ret_arm,log_ret_arm_cost_adj,cost_arm,churn_evitado,churn_evitado_rate,n_reentrants_baseline,arm_catches_reentry,recidiva_avoidance_rate
Baseline,2,2023-09-12,2023-09-11,2023-09-26,2023-09-25,HOLDOUT,10,20,2,0.1,PPCB;SN;KLDO;KGJI;ICCT;FNGR;HOLO;HHH;TOI;GCT;MYO;VERA;WETH;IZM;TORO;VRT;ULBI;NVOS;LNZA;REKR,PPCB;SN;KLDO;KGJI;ICCT;FNGR;HOLO;HHH;GCT;MYO;VERA;WETH;IZM;TORO;VRT;ULBI;LNZA;REKR;ILPT;XTNT,NVOS;TOI,ILPT;XTNT,-0.2554572757550394,-0.2517675574277487,-0.2518175574277487,5e-05,0,0.0,2,0,0.0
Baseline,2,2023-09-26,2023-09-25,2023-10-10,2023-10-09,HOLDOUT,10,20,2,0.1,SN;KLDO;KGJI;ICCT;TNGX;HHH;TOI;MYO;GEOS;GLBS;LEU;MTRX;SMIT;ULBI;HLX;VIRC;HNRG;URG;HITI;TIGR,SN;KLDO;KGJI;ICCT;TNGX;HHH;TOI;MYO;GEOS;LEU;MTRX;SMIT;ULBI;HLX;HNRG;URG;HITI;TIGR;OBE;TORO,GLBS;VIRC,OBE;TORO,-0.01200808146444142,-0.04027105281714642,-0.04032105281714642,5e-05,1,0.5,2,1,0.5
Baseline,2,2023-10-10,2023-10-09,2023-10-24,2023-10-23,HOLDOUT,10,20,2,0.1,SN;KLDO;KGJI;ICCT;SMIT;GLBS;HHH;MPTI;TNGX;TOI;VIRC;SLNO;MTRX;HNRG;LEU;ULBI;GDHG;URG;UROY;TIGR,SN;KLDO;KGJI;ICCT;SMIT;HHH;TNGX;TOI;VIRC;SLNO;MTRX;HNRG;LEU;ULBI;GDHG;URG;UROY;TIGR;VRT;JILL,GLBS;MPTI,JILL;VRT,-0.053600697883187644,-0.05079377119667596,-0.05084377119667596,5e-05,1,0.5,2,1,0.5
Baseline,2,2023-10-24,2023-10-23,2023-11-07,2023-11-06,HOLDOUT,10,20,3,0.15,SN;SKYE;SMTK;ICCT;GDHG;SPEC;SMIT;MPTI;HHH;SLNO;MTRX;IFMK;ULBI;LEXX;GLBS;TNGX;SOWG;SKYH;HNRG;LFMD,SN;SKYE;SMTK;ICCT;GDHG;SPEC;SMIT;MPTI;HHH;SLNO;MTRX;IFMK;ULBI;TNGX;SOWG;HNRG;LFMD;URG;GEOS;GNE,GLBS;LEXX;SKYH,GEOS;GNE;URG,-0.09878075839100216,-0.10015126009920905,-0.10022626009920906,7.500000000000001e-05,1,0.3333333333333333,2,1,0.5
Baseline,2,2023-11-07,2023-11-06,2023-11-21,2023-11-20,HOLDOUT,10,20,2,0.1,SKYE;GDHG;SMTK;SPEC;HHH;ICCT;MPTI;EJH;MYO;SLNO;LFMD;SRRK;IMMX;IBRX;GLBS;MTRX;SMIT;KINS;GNE;SN,SKYE;GDHG;SMTK;SPEC;HHH;ICCT;MPTI;EJH;MYO;SLNO;LFMD;SRRK;IMMX;IBRX;GLBS;MTRX;KINS;SN;LICN;LRN,GNE;SMIT,LICN;LRN,0.08559860996317965,0.09567417800289374,0.09562417800289374,5e-05,0,0.0,1,0,0.0
Baseline,2,2023-11-21,2023-11-20,2023-12-06,2023-12-05,HOLDOUT,10,20,1,0.05,SKYE;SMTK;GDHG;MYO;EJH;SPEC;SLNO;ICCT;TOI;IBRX;MPTI;GLBS;MKTW;IMMX;OBTC;LFMD;SKYH;LPG;SRRK;UPLD,SKYE;SMTK;GDHG;MYO;EJH;SPEC;SLNO;ICCT;TOI;IBRX;MPTI;GLBS;MKTW;IMMX;OBTC;LFMD;SKYH;SRRK;UPLD;LICN,LPG,LICN,0.04612133093113014,0.04835580659440855,0.048330806594408554,2.5e-05,0,0.0,4,1,0.25
Baseline,2,2023-12-06,2023-12-05,2023-12-20,2023-12-19,HOLDOUT,10,20,2,0.1,SKYE;SMTK;GDHG;SLNO;MYO;EJH;SPEC;GLBS;IBRX;SRRK;MKTW;SKYH;LICN;SMID;OBTC;HRTG;PLSE;TLS;PRCH;IMMX,SKYE;SMTK;GDHG;SLNO;MYO;EJH;SPEC;GLBS;IBRX;SRRK;MKTW;LICN;SMID;OBTC;HRTG;TLS;PRCH;IMMX;PRKR;RCKY,PLSE;SKYH,PRKR;RCKY,-0.03646580363587089,-0.06511285777592603,-0.06516285777592602,5e-05,1,0.5,0,0,
Baseline,2,2023-12-20,2023-12-19,2024-01-05,2024-01-04,HOLDOUT,10,20,3,0.15,SKYE;SMTK;SLNO;MYO;ZJYL;EJH;SPEC;STTK;PRCH;SRRK;PLSE;SKYH;TPST;IBRX;HNST;TOPS;MRAI;MYND;EKSO;SMID,SKYE;SMTK;SLNO;MYO;EJH;SPEC;PRCH;SRRK;SKYH;TPST;IBRX;HNST;TOPS;MRAI;MYND;EKSO;SMID;SNAP;TLS;JAKK,PLSE;STTK;ZJYL,JAKK;SNAP;TLS,-0.06905138940059248,-0.07528575299082708,-0.07536075299082709,7.500000000000001e-05,0,0.0,3,1,0.3333333333333333
Baseline,2,2024-01-05,2024-01-04,2024-01-22,2024-01-19,HOLDOUT,10,20,2,0.1,SKYE;SBNY;SMTK;WETH;MIGI;TPST;STTK;MYO;PRCH;EKSO;SPEC;MTC;ZJYL;MYND;IBRX;TOPS;HNST;SKYH;HOWL;GCT,SKYE;SBNY;SMTK;WETH;MIGI;TPST;STTK;MYO;PRCH;SPEC;ZJYL;MYND;IBRX;TOPS;HNST;SKYH;HOWL;GCT;STIM;SRRK,EKSO;MTC,SRRK;STIM,-0.07897909874379981,-0.0746484405837353,-0.0746984405837353,5e-05,0,0.0,2,0,0.0
Baseline,2,2024-01-22,2024-01-19,2024-02-05,2024-02-02,HOLDOUT,10,20,0,0.0,SBNY;SMTK;STTK;WETH;SPEC;PRCH;MPU;ZJYL;SLDB;MIGI;ELUT;HRTX;STIM;MYO;VTSI;MGNX;IBRX;IVVD;MYND;NAMS,SBNY;SMTK;STTK;WETH;SPEC;PRCH;MPU;ZJYL;SLDB;MIGI;ELUT;HRTX;STIM;MYO;VTSI;MGNX;IBRX;IVVD;MYND;NAMS,,,0.022360496381050345,0.022360496381050345,0.022360496381050345,0.0,0,0.0,1,0,0.0
Baseline,2,2024-02-05,2024-02-02,2024-02-20,2024-02-16,HOLDOUT,10,20,0,0.0,SBNY;YRIV;ZJYL;STAB;STTK;WETH;MPU;VERA;PRCH;HRTX;MGNX;SPRB;STIM;RVSN;KYMR;ELUT;MIGI;PRAX;IVVD;HNST,SBNY;YRIV;ZJYL;STAB;STTK;WETH;MPU;VERA;PRCH;HRTX;MGNX;SPRB;STIM;RVSN;KYMR;ELUT;MIGI;PRAX;IVVD;HNST,,,0.030797616536997426,0.030797616536997426,0.030797616536997426,0.0,0,0.0,1,0,0.0
Baseline,2,2024-02-20,2024-02-16,2024-03-05,2024-03-04,HOLDOUT,10,20,3,0.15,SBNY;YRIV;ZJYL;WETH;HOLO;ZIVO;LRMR;SPRB;STTK;GCT;OCUL;VKTX;SKYE;TNYA;VERA;IMNM;SLDB;HTOO;HRTX;WGS,SBNY;YRIV;ZJYL;WETH;ZIVO;SPRB;STTK;GCT;OCUL;VKTX;SKYE;TNYA;VERA;IMNM;SLDB;HRTX;WGS;HOWL;PEPG;JSPR,HOLO;HTOO;LRMR,HOWL;JSPR;PEPG,0.0338753545923129,0.18028021349674342,0.18020521349674343,7.500000000000001e-05,1,0.3333333333333333,0,0,
Baseline,2,2024-03-05,2024-03-04,2024-03-19,2024-03-18,HOLDOUT,10,20,3,0.15,YRIV;SBNY;ZIVO;SKYE;VINC;VKTX;WGS;OCUL;STTK;SPRB;ROOT;SRAX;JSPR;JAN;ZJYL;JANX;OCEA;GCT;VERA;TNYA,YRIV;SBNY;ZIVO;SKYE;VINC;VKTX;WGS;OCUL;STTK;SPRB;SRAX;JSPR;ZJYL;JANX;GCT;VERA;TNYA;LRMR;IMNM;PRAX,JAN;OCEA;ROOT,IMNM;LRMR;PRAX,-0.2488744187229898,-0.31438379846385656,-0.31445879846385655,7.500000000000001e-05,0,0.0,1,1,1.0
