arm,phase,split,n_cycles,top_n,cagr_baseline,cagr_arm_cost_adj,mdd_baseline,mdd_arm_cost_adj,sharpe_baseline,sharpe_arm_cost_adj,cvar5_baseline,cvar5_arm,cvar10_baseline,cvar10_arm,gate_activation_rate_mean,n_bloqueados_mean,churn_evitado_rate_mean,n_reentrants_baseline_mean,arm_catches_reentry_mean,recidiva_avoidance_rate_mean
B_plus_C,5,TRAIN,106,20,-0.49632418938339395,-0.2846504417556758,-0.9432814298527595,-0.8390673750483172,-4.997726793125506,-2.512681169768811,-0.22756402801157946,-0.20008702955055177,-0.18952297155672634,-0.16697235708202893,0.4273584905660377,8.547169811320755,0.49626438812759566,1.8584905660377358,0.7924528301886793,0.44447791164658634
B_plus_C,6,TRAIN,106,20,-0.4302417043358492,-0.32220229560176705,-0.9095260115305254,-0.8557364389064228,-4.101111263253997,-2.95563927398204,-0.23199981499726272,-0.2216394746388454,-0.18698938489594213,-0.1804943053648943,0.429245283018868,8.584905660377359,0.5042970132592773,2.009433962264151,0.9528301886792453,0.4383522727272727
B_plus_C,7,TRAIN,106,20,-0.3689508007019585,-0.29977253324122144,-0.8550689592436078,-0.8041150656697534,-3.2576761983222595,-2.8103519003597706,-0.2325622105690992,-0.21175381213526642,-0.1807085245518509,-0.1665823036013001,0.4349056603773585,8.69811320754717,0.5043405147386835,2.1037735849056602,1.1226415094339623,0.5631481481481481
B_plus_C,8,TRAIN,106,20,-0.4339456232083314,-0.3364785149975247,-0.9053349212371716,-0.8302185074224832,-4.180388164931295,-3.547831839104511,-0.236217025518863,-0.20660924488789192,-0.18543625092479152,-0.1602800650796037,0.4311320754716981,8.622641509433961,0.4767472307566647,2.0660377358490565,0.9716981132075472,0.49406130268199233
B_plus_C,9,TRAIN,105,20,-0.40551614105380784,-0.33880936097168013,-0.8850462172025374,-0.855062074416052,-3.816523980651216,-3.8440905325121086,-0.22542600049852626,-0.18717345636931496,-0.18274227776035937,-0.150517442114953,0.42428571428571427,8.485714285714286,0.47328528614242904,1.7428571428571429,0.7428571428571429,0.3850574712643678
Baseline,0,TRAIN,106,20,-0.3869259193133565,-0.3387436307183992,-0.8559619425323924,-0.8054184609717395,-4.011237886412108,-3.4824042284153514,-0.1931317742113934,-0.19103350124882776,-0.16111147278342544,-0.15763481315361513,0.09339622641509435,1.8679245283018868,0.06734800838574423,1.8018867924528301,0.1792452830188679,0.0976190476190476
Baseline,1,TRAIN,106,20,-0.4100108017880365,-0.3289389079243409,-0.8816279648161092,-0.7988387627788056,-4.664270461088495,-3.6963886046594574,-0.18492570259159172,-0.1663042410393976,-0.1568175764308608,-0.14255713359868658,0.0957547169811321,1.9150943396226414,0.06108490566037735,2.0377358490566038,0.24528301886792453,0.11177536231884058
Baseline,2,TRAIN,106,20,-0.44699299574372775,-0.38281243349327454,-0.9107577479618902,-0.8596008194336557,-4.903080402368438,-3.8762474167870002,-0.20953024592282024,-0.2136063892466896,-0.17496574927620487,-0.17370753198339473,0.09103773584905661,1.820754716981132,0.05891734052111411,1.8018867924528301,0.22641509433962265,0.1165826330532213
Baseline,3,TRAIN,106,20,-0.44231890484379155,-0.3174589478310491,-0.9124191516803934,-0.7995874954763509,-4.429658395829518,-3.038458872523977,-0.23682259238470213,-0.2052381193023366,-0.1925424046169425,-0.16791663181203995,0.08726415094339625,1.7452830188679245,0.0695754716981132,1.6320754716981132,0.14150943396226415,0.08143939393939394
Baseline,4,TRAIN,106,20,-0.47030394006793275,-0.3204806224892872,-0.9292734699078791,-0.8078104006497551,-4.3617294965079365,-2.7545628565466806,-0.25266990689662056,-0.2182364094105804,-0.20444242451841213,-0.17933490757937626,0.09528301886792453,1.9056603773584906,0.10558176100628931,1.7830188679245282,0.2169811320754717,0.12333333333333334
Baseline,5,TRAIN,106,20,-0.49632418938339395,-0.3830933861369591,-0.9432814298527595,-0.8887128214863341,-4.997726793125506,-3.3672390585204766,-0.22756402801157946,-0.21923589554691628,-0.18952297155672634,-0.18375112039205369,0.10141509433962266,2.0283018867924527,0.08042452830188677,1.8584905660377358,0.24528301886792453,0.11345381526104419
Baseline,6,TRAIN,106,20,-0.4302417043358492,-0.3373743620908698,-0.9095260115305254,-0.8859807807001007,-4.101111263253997,-2.717836613494549,-0.23199981499726272,-0.23911483777484724,-0.18698938489594213,-0.18944502305192748,0.10141509433962265,2.0283018867924527,0.0779874213836478,2.009433962264151,0.29245283018867924,0.15388257575757575
Baseline,7,TRAIN,106,20,-0.3689508007019585,-0.3064611305848356,-0.8550689592436078,-0.821685907526276,-3.2576761983222595,-2.6602204711382518,-0.2325622105690992,-0.22069960625504126,-0.1807085245518509,-0.17364393535003278,0.09811320754716983,1.9622641509433962,0.11635220125786162,2.1037735849056602,0.3584905660377358,0.20037037037037034
Baseline,8,TRAIN,106,20,-0.4339456232083314,-0.44317485531344525,-0.9053349212371716,-0.9120028004255887,-4.180388164931295,-4.478263029497676,-0.236217025518863,-0.2461314719575245,-0.18543625092479152,-0.1817491004369471,0.09811320754716982,1.9622641509433962,0.07823450134770889,2.0660377358490565,0.37735849056603776,0.20804597701149427
Baseline,9,TRAIN,105,20,-0.40551614105380784,-0.3815547767987296,-0.8850462172025374,-0.8644378613708952,-3.816523980651216,-3.651989089686805,-0.22542600049852626,-0.23079327067237984,-0.18274227776035937,-0.1786717011042289,0.0923809523809524,1.8476190476190477,0.0702721088435374,1.7428571428571429,0.2,0.10153256704980841
