date,arm,offset,split,is_holdout,cycle_id,equity,cash_free,cash_pending,holdings_value,n_tickers,raw_n_tickers,log_ret_equity,turnover_gross_pct,defensive_sells_today,defensive_sell_rate,cash_idle_gt5,cash_ratio,trade_cost_today,gross_sells_today,gross_buys_today,is_rebalance_day,had_scores,first_rebalance_expected_date,trigger_r1_today,trigger_leve_today,trigger_medio_today,trigger_grave_today
2021-10-27,A0_R1,6,TRAIN,0,13,106927.41749442504,21215.89749442504,0.0,85711.52,16,17,-0.02040448225790337,0.0,0,0.0,1,0.19841400822694694,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-10-28,A0_R1,6,TRAIN,0,13,110017.98802442505,26012.57802442504,0.0,84005.41,15,16,0.028493616807189998,0.043609959481669715,1,0.05,1,0.2364393177109365,1.19947,4797.88,0.0,0,1,2021-04-14,1,0,0,0
2021-10-29,A0_R1,6,TRAIN,0,13,111269.62260442504,33272.44260442504,0.0,77997.18,14,15,0.011312408535801866,0.06526201698208342,1,0.05,1,0.2990253927858819,1.81542,7261.68,0.0,0,1,2021-04-14,1,0,0,0
2021-11-01,A0_R1,6,TRAIN,0,14,112866.15535880002,11189.302858800042,0.0,101676.85249999998,19,21,0.01424636237309726,0.9227653956043046,2,0.1,1,0.09913780462557084,26.037245625000008,41045.94,63103.0425,1,1,2021-04-14,2,0,0,0
2021-11-02,A0_R1,6,TRAIN,0,14,114228.82160880005,11189.302858800042,0.0,103039.51875,19,21,0.012000992913694468,0.0,0,0.0,1,0.09795516316468796,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-03,A0_R1,6,TRAIN,0,14,115266.98785880004,11189.302858800042,0.0,104077.685,19,21,0.009047427350170521,0.0,0,0.0,1,0.09707291798504125,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-04,A0_R1,6,TRAIN,0,14,115235.39065380004,27149.131903800044,0.0,88086.25875000001,16,18,-0.00027415947203502045,0.1385322678165761,3,0.15,1,0.23559716984310639,3.990955,15963.82,0.0,0,1,2021-04-14,3,0,0,0
2021-11-05,A0_R1,6,TRAIN,0,14,114494.84690380003,27149.131903800044,0.0,87345.715,16,18,-0.006447094844212198,0.0,0,0.0,1,0.2371209939833456,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-08,A0_R1,6,TRAIN,0,14,118320.00403380004,34403.797783800044,0.0,83916.20625,15,17,0.03286303572029315,0.06132927444734593,1,0.05,1,0.2907690721002007,1.81412,7256.48,0.0,0,1,2021-04-14,1,0,0,0
2021-11-09,A0_R1,6,TRAIN,0,14,116264.62841880004,48727.67591880004,0.0,67536.9525,13,15,-0.017523980083392787,0.12323146080500648,2,0.1,1,0.4191100645269061,3.581865,14327.46,0.0,0,1,2021-04-14,2,0,0,0
2021-11-10,A0_R1,6,TRAIN,0,14,111749.05977380005,59239.62727380005,0.0,52509.432499999995,11,13,-0.03961305261043053,0.09409099299164915,2,0.1,1,0.5301129816547144,2.6286450000000006,10514.580000000002,0.0,0,1,2021-04-14,2,0,0,0
2021-11-11,A0_R1,6,TRAIN,0,14,114652.49418880005,63420.92168880005,0.0,51231.572499999995,10,12,0.02564994407481622,0.0364784039770899,1,0.05,1,0.5531578020829083,1.045585,4182.34,0.0,0,1,2021-04-14,1,0,0,0
2021-11-12,A0_R1,6,TRAIN,0,14,115052.32163130004,70789.30913130005,0.0,44263.0125,9,11,0.003481231726587699,0.06405981118415716,1,0.05,1,0.6152792757903095,1.8425575,7370.2300000000005,0.0,0,1,2021-04-14,1,0,0,0
2021-11-15,A0_R1,6,TRAIN,0,15,114252.95679880009,5721.155548800073,0.0,108531.80125000002,19,19,-0.006972086085961333,0.9657021847959627,1,0.05,1,0.05007446379593528,27.583582500000002,22646.879999999997,87687.44999999998,1,1,2021-04-14,1,0,0,0
2021-11-16,A0_R1,6,TRAIN,0,15,114080.97304880006,5721.155548800073,0.0,108359.81749999999,19,19,-0.00150642335669118,0.0,0,0.0,1,0.05014995398358631,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-17,A0_R1,6,TRAIN,0,15,111788.09029880006,12025.579048800073,0.0,99762.51124999998,18,18,-0.02030345795751726,0.05641030259256239,1,0.05,1,0.10757477846393763,1.5765,6306.0,0.0,0,1,2021-04-14,1,0,0,0
2021-11-18,A0_R1,6,TRAIN,0,15,111912.18779880008,12025.579048800073,0.0,99886.60875,18,18,0.001109498063976979,0.0,0,0.0,1,0.1074554906425394,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-19,A0_R1,6,TRAIN,0,15,108526.80654880009,12025.579048800073,0.0,96501.22750000001,18,18,-0.030717318835333053,0.0,0,0.0,1,0.11080745330318606,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-22,A0_R1,6,TRAIN,0,15,106986.5049638001,16760.734963800074,0.0,90225.77000000002,17,17,-0.014294502756656129,0.04427044328256714,1,0.05,1,0.1566621413557834,1.184085,4736.34,0.0,0,1,2021-04-14,1,0,0,0
2021-11-23,A0_R1,6,TRAIN,0,15,109405.47871380008,16760.734963800074,0.0,92644.74375000001,17,17,0.022358263710525555,0.0,0,0.0,1,0.15319831475392032,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-24,A0_R1,6,TRAIN,0,15,109836.40138130006,23053.491381300075,0.0,86782.90999999999,16,16,0.0039310301684469685,0.05730641136128506,1,0.05,1,0.20988935445243923,1.5735825,6294.33,0.0,0,1,2021-04-14,1,0,0,0
2021-11-26,A0_R1,6,TRAIN,0,15,105556.71513130008,23053.491381300075,0.0,82503.22375,16,16,-0.039743605900758164,0.0,0,0.0,1,0.21839909808318927,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-11-29,A0_R1,6,TRAIN,0,15,108059.45686130007,36408.231861300075,0.0,71651.225,13,13,0.023433209481174454,0.12361787101286092,3,0.15,1,0.3369277703110421,3.3395200000000003,13358.080000000002,0.0,0,1,2021-04-14,3,0,0,0
2021-11-30,A0_R1,6,TRAIN,0,16,104986.64149880008,15803.676498800076,0.0,89182.965,17,20,-0.028848483890688774,1.0258586088900745,3,0.15,1,0.15053035579751067,26.9253625,43561.91,64139.54,1,1,2021-04-14,3,0,0,0
2021-12-01,A0_R1,6,TRAIN,0,16,100544.94274880008,15803.676498800076,0.0,84741.26625,17,20,-0.043228299173787996,0.0,0,0.0,1,0.15718022276151408,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-02,A0_R1,6,TRAIN,0,16,101284.05997630008,33460.351226300074,0.0,67823.70875,13,16,0.007324225177102503,0.17437186072648153,4,0.2,1,0.33036147281348727,4.4152725,17661.09,0.0,0,1,2021-04-14,4,0,0,0
2021-12-03,A0_R1,6,TRAIN,0,16,98508.49247630007,33460.351226300074,0.0,65048.14125000001,13,16,-0.02778628175126393,0.0,0,0.0,1,0.33966971156674863,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-06,A0_R1,6,TRAIN,0,16,98940.96663723757,39942.086637237575,0.0,58998.87999999999,12,15,0.004380613190524156,0.0655275208071387,1,0.05,1,0.40369614321318864,1.6208390625,6483.35625,0.0,0,1,2021-04-14,1,0,0,0
2021-12-07,A0_R1,6,TRAIN,0,16,101552.76663723757,39942.086637237575,0.0,61610.68,12,15,0.026055156058766838,0.0,0,0.0,1,0.39331362364471056,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-08,A0_R1,6,TRAIN,0,16,101773.19741723756,45217.647417237575,0.0,56555.549999999996,11,14,0.0021682510385189163,0.05184940764282446,1,0.05,1,0.4442981901399804,1.31922,5276.88,0.0,0,1,2021-04-14,1,0,0,0
2021-12-09,A0_R1,6,TRAIN,0,16,99484.53741723759,45217.647417237575,0.0,54266.890000000014,11,14,-0.022744553536354378,0.0,0,0.0,1,0.4545193513600512,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-10,A0_R1,6,TRAIN,0,16,99607.31006723757,48606.20006723757,0.0,51001.11,10,13,0.0012333269002586598,0.03402762305007599,1,0.05,1,0.487978242103186,0.8473499999999999,3389.3999999999996,0.0,0,1,2021-04-14,1,0,0,0
2021-12-13,A0_R1,6,TRAIN,0,16,97074.07006723757,48606.20006723757,0.0,48467.87,10,13,-0.025761260103695616,0.0,0,0.0,1,0.5007124975142269,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-14,A0_R1,6,TRAIN,0,17,95616.50164223756,43.47164223756772,0.0,95573.03,21,25,-0.015128879560791805,1.3758472412243912,0,0.0,0,0.00045464581417361323,32.888425,41511.92999999999,90041.77,1,1,2021-04-14,0,0,0,0
2021-12-15,A0_R1,6,TRAIN,0,17,97507.64030473758,4857.617804737567,0.0,92650.0225,21,24,0.01958532055131279,0.04938433526799271,1,0.05,0,0.049817817245461034,1.2038375,4815.349999999999,0.0,0,1,2021-04-14,1,0,0,0
2021-12-16,A0_R1,6,TRAIN,0,17,96084.72921723756,9760.741717237568,0.0,86323.98749999999,20,23,-0.014700338811636605,0.0510419297629676,1,0.05,1,0.10158473460615733,1.2260875000000002,4904.35,0.0,0,1,2021-04-14,1,0,0,0
2021-12-17,A0_R1,6,TRAIN,0,17,96083.81421723755,9760.741717237568,0.0,86323.07249999998,20,23,-9.522890517436547e-06,0.0,0,0.0,1,0.10158570199106937,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-20,A0_R1,6,TRAIN,0,17,94638.84421723757,9760.741717237568,0.0,84878.1025,19,23,-0.015152868148770727,0.0,0,0.0,1,0.10313673838653814,0.0,0.0,0.0,0,1,2021-04-14,0,0,0,0
2021-12-21,A0_R1,6,TRAIN,0,17,96167.44700723757,14448.409507237568,0.0,81719.0375,19,22,0.016022904524531586,0.048757039371619355,1,0.05,1,0.15024220728403218,1.17221,4688.84,0.0,0,1,2021-04-14,1,0,0,0
