arm,split,n_days,n_cycles,equity_final,mean_cvar5,mean_sharpe_cost_adj,mean_veto_rate,avg_tickers,cash_idle_days_pct,turnover_mean_pct,defensive_sells_total,defensive_sells_per_cycle,offset
A0_R1,TRAIN,503,45,80260.74135936963,-0.038428697055764224,-0.4405576893057841,0.025347912524850896,14.41351888667992,82.10735586481114,10.072650740344661,255,5.666666666666667,3
A1_LEVE,TRAIN,503,45,82565.7954098969,-0.02386393170060021,-0.677789710405107,0.06998011928429423,6.3717693836978135,97.8131212723658,15.204822771258256,704,15.644444444444444,3
A2_MEDIO,TRAIN,503,45,76932.1212761561,-0.03687618587097943,-0.5455827164670323,0.030516898608349895,14.031809145129225,84.29423459244532,10.404335553948227,307,6.822222222222222,3
A3_GRAVE,TRAIN,503,45,80260.74135936963,-0.038428697055764224,-0.4405576893057841,0.025347912524850896,14.41351888667992,82.10735586481114,10.072650740344661,255,5.666666666666667,3
Zero-A,TRAIN,503,45,80565.17014005764,-0.04662223424952884,-0.3510869066551467,0.0,17.369781312127238,13.320079522862823,7.905955566476253,0,0.0,4
A0_R1,TRAIN,503,45,81008.61611558526,-0.03908538605224309,-0.4192363421146844,0.025844930417495034,14.159045725646124,85.2882703777336,10.500288400460317,260,5.777777777777778,4
A1_LEVE,TRAIN,503,45,84892.89413925075,-0.019516040674826138,-0.6849166262055778,0.0738568588469185,5.755467196819086,99.20477137176938,15.640785985808439,743,16.511111111111113,4
A2_MEDIO,TRAIN,503,45,80366.15396193007,-0.03768937115024693,-0.4563529525199617,0.03121272365805169,13.725646123260438,86.08349900596421,10.829908636678717,314,6.977777777777778,4
A3_GRAVE,TRAIN,503,45,80933.38129738346,-0.03898538425081329,-0.4222955857750364,0.026143141153081514,14.20079522862823,85.2882703777336,10.499875396784908,263,5.844444444444444,4
Zero-A,TRAIN,503,45,83560.82423676345,-0.04572411609194792,-0.2962611482228385,0.0,17.46123260437376,13.518886679920477,8.057153965271612,0,0.0,5
A0_R1,TRAIN,503,45,82206.41553454567,-0.03855250236370238,-0.3867295816406225,0.024652087475149107,14.318091451292247,84.09542743538768,10.567096939995126,248,5.511111111111111,5
A1_LEVE,TRAIN,503,45,85157.34303796086,-0.024395495642473855,-0.560218796908036,0.0716699801192843,5.934393638170974,98.60834990059642,15.231230297506034,721,16.022222222222222,5
A2_MEDIO,TRAIN,503,45,82046.41392997149,-0.037222502343201,-0.41185335168042386,0.030019880715705764,13.705765407554672,85.08946322067594,10.925687157026845,302,6.711111111111111,5
A3_GRAVE,TRAIN,503,45,82680.42249251473,-0.03843838129149747,-0.3769649203035421,0.02504970178926441,14.322067594433399,84.09542743538768,10.569230691251706,252,5.6,5
Zero-A,TRAIN,503,45,80788.92077425124,-0.046877528168776696,-0.3476276812296259,0.0,17.220675944333998,13.717693836978132,8.19700519297408,0,0.0,6
A0_R1,TRAIN,503,45,73889.41840067567,-0.03713551111298178,-0.6187796130452429,0.025248508946322065,14.347912524850894,84.49304174950298,10.806185034005765,254,5.644444444444445,6
A1_LEVE,TRAIN,503,45,89602.81757625591,-0.024388827973124624,-0.3834266552734643,0.06610337972166998,6.934393638170974,99.20477137176938,14.604232534193107,665,14.777777777777779,6
A2_MEDIO,TRAIN,503,45,72070.6832194602,-0.03511238763051065,-0.7150634695935442,0.031312127236580514,13.733598409542743,87.07753479125249,11.192437549286202,315,7.0,6
A3_GRAVE,TRAIN,503,45,73889.41840067567,-0.03713551111298178,-0.6187796130452429,0.025248508946322065,14.347912524850894,84.49304174950298,10.806185034005765,254,5.644444444444445,6
Zero-A,TRAIN,503,45,77009.66398669564,-0.042683710214955,-0.4533512808040912,0.0,17.16500994035785,13.916500994035786,8.159520567689887,0,0.0,7
A0_R1,TRAIN,503,45,70844.30413573839,-0.0341193525743761,-0.7395281086329172,0.02654075546719682,14.341948310139164,88.07157057654076,10.986480220267977,267,5.933333333333334,7
A1_LEVE,TRAIN,503,45,82439.3905101202,-0.01865998873434626,-0.8018113414965138,0.07196819085487079,5.898608349900597,98.40954274353876,15.222483283314247,724,16.08888888888889,7
A2_MEDIO,TRAIN,503,45,68022.50086855644,-0.03248498714322782,-0.874503035421839,0.03210735586481113,13.751491053677933,88.46918489065607,11.264578512336447,323,7.177777777777778,7
A3_GRAVE,TRAIN,503,45,70844.30413573839,-0.0341193525743761,-0.7395281086329172,0.02654075546719682,14.341948310139164,88.07157057654076,10.986480220267977,267,5.933333333333334,7
Zero-A,TRAIN,503,45,85872.55625866767,-0.043097812387183826,-0.2661595899397043,0.0,17.218687872763418,14.115308151093439,7.882033723699086,0,0.0,8
A0_R1,TRAIN,503,45,82797.92512256432,-0.03466867508066752,-0.4102622295738591,0.026341948310139165,14.312127236580517,87.27634194831015,10.701402951401636,265,5.888888888888889,8
A1_LEVE,TRAIN,503,45,88262.20736004057,-0.017822690534093025,-0.5431752574067272,0.07216699801192843,5.894632206759443,99.60238568588468,15.52309564397273,726,16.133333333333333,8
A2_MEDIO,TRAIN,503,45,82095.78033424963,-0.03332892725333061,-0.4478225842655315,0.031113320079522864,13.797216699801194,88.07157057654076,11.017322278223173,313,6.955555555555556,8
A3_GRAVE,TRAIN,503,45,82797.92512256432,-0.03466867508066752,-0.4102622295738591,0.026341948310139165,14.312127236580517,87.27634194831015,10.701402951401636,265,5.888888888888889,8
Zero-A,TRAIN,503,45,74522.61617271653,-0.045633162709763156,-0.5021038372910022,0.0,17.399602385685885,14.314115308151093,7.822755797262773,0,0.0,9
A0_R1,TRAIN,503,45,69454.97193731368,-0.03825571805830765,-0.7464847086072458,0.026540755467196822,14.335984095427435,84.29423459244532,10.545091898768389,267,5.933333333333334,9
A1_LEVE,TRAIN,503,45,80031.99530268868,-0.024248158807071058,-0.8141697683194756,0.07027833001988072,6.067594433399602,98.60834990059642,15.46987193722189,707,15.71111111111111,9
A2_MEDIO,TRAIN,503,45,69158.68288794895,-0.03680303360276038,-0.7914439756592365,0.03190854870775348,13.840954274353876,84.89065606361828,10.721957465759521,321,7.133333333333334,9
A3_GRAVE,TRAIN,503,45,69596.40730718491,-0.038089205860862646,-0.7438406628660256,0.026640159045725646,14.341948310139164,84.49304174950298,10.546159179675461,268,5.955555555555556,9
